prec_id,Mel Watt,Jack Brosch,election
mecklenburg_39,1408,41,us_house_of_representatives_district_12
mecklenburg_40,1592,156,us_house_of_representatives_district_12
mecklenburg_41,1473,108,us_house_of_representatives_district_12
mecklenburg_42,1870,50,us_house_of_representatives_district_12
mecklenburg_43,1820,167,us_house_of_representatives_district_12
mecklenburg_45,770,276,us_house_of_representatives_district_12
mecklenburg_46,1315,363,us_house_of_representatives_district_12
mecklenburg_52,1822,48,us_house_of_representatives_district_12
mecklenburg_53,2045,156,us_house_of_representatives_district_12
mecklenburg_54,1769,36,us_house_of_representatives_district_12
mecklenburg_55,1119,9,us_house_of_representatives_district_12
mecklenburg_56,1011,18,us_house_of_representatives_district_12
mecklenburg_60,1436,50,us_house_of_representatives_district_12
mecklenburg_61,1126,338,us_house_of_representatives_district_12
mecklenburg_62,1134,194,us_house_of_representatives_district_12
mecklenburg_63,1156,220,us_house_of_representatives_district_12
mecklenburg_77,1597,85,us_house_of_representatives_district_12
mecklenburg_078.1,895,242,us_house_of_representatives_district_12
mecklenburg_79,804,361,us_house_of_representatives_district_12
mecklenburg_81,2295,393,us_house_of_representatives_district_12
mecklenburg_82,2022,64,us_house_of_representatives_district_12
mecklenburg_84,1290,194,us_house_of_representatives_district_12
mecklenburg_97,834,185,us_house_of_representatives_district_12
mecklenburg_98,1600,149,us_house_of_representatives_district_12
mecklenburg_99,1220,142,us_house_of_representatives_district_12
mecklenburg_104,2001,131,us_house_of_representatives_district_12
mecklenburg_105,1881,404,us_house_of_representatives_district_12
mecklenburg_107.1,1907,406,us_house_of_representatives_district_12
mecklenburg_108,1386,127,us_house_of_representatives_district_12
mecklenburg_116,966,185,us_house_of_representatives_district_12
mecklenburg_117,1117,322,us_house_of_representatives_district_12
mecklenburg_120,1426,187,us_house_of_representatives_district_12
mecklenburg_123,1353,270,us_house_of_representatives_district_12
mecklenburg_124,1545,171,us_house_of_representatives_district_12
mecklenburg_125,684,187,us_house_of_representatives_district_12
mecklenburg_126,1727,286,us_house_of_representatives_district_12
mecklenburg_130,821,263,us_house_of_representatives_district_12
mecklenburg_132,845,287,us_house_of_representatives_district_12
