prec_id,Tom Gale,Rick Catlin,election
new hanover_CF02,660,1120,nc_house_of_representatives_district_20
new hanover_CF05,744,1250,nc_house_of_representatives_district_20
new hanover_CF06,649,1072,nc_house_of_representatives_district_20
new hanover_H01,545,652,nc_house_of_representatives_district_20
new hanover_H02,498,1938,nc_house_of_representatives_district_20
new hanover_H04,868,1497,nc_house_of_representatives_district_20
new hanover_H05,723,1714,nc_house_of_representatives_district_20
new hanover_H06,836,1135,nc_house_of_representatives_district_20
new hanover_H08,1139,2705,nc_house_of_representatives_district_20
new hanover_H09,1384,3545,nc_house_of_representatives_district_20
new hanover_H10,1296,1142,nc_house_of_representatives_district_20
new hanover_H11,1312,2249,nc_house_of_representatives_district_20
new hanover_W16,837,1313,nc_house_of_representatives_district_20
new hanover_W17,708,1044,nc_house_of_representatives_district_20
new hanover_W18,451,594,nc_house_of_representatives_district_20
new hanover_W24,683,580,nc_house_of_representatives_district_20
new hanover_W31,846,1732,nc_house_of_representatives_district_20
