prec_id,Delmas Parker,Peter Samuel (Pete) Brunstetter,election
forsyth_011,1144,2003,nc_state_senate_district_31
forsyth_012,427,1378,nc_state_senate_district_31
forsyth_013,460,1013,nc_state_senate_district_31
forsyth_014,392,1088,nc_state_senate_district_31
forsyth_015,393,916,nc_state_senate_district_31
forsyth_021,555,1885,nc_state_senate_district_31
forsyth_031,229,616,nc_state_senate_district_31
forsyth_032,379,971,nc_state_senate_district_31
forsyth_033,26,45,nc_state_senate_district_31
forsyth_034,509,927,nc_state_senate_district_31
forsyth_042,228,517,nc_state_senate_district_31
forsyth_043,283,680,nc_state_senate_district_31
forsyth_051,590,1327,nc_state_senate_district_31
forsyth_052,272,647,nc_state_senate_district_31
forsyth_053,399,1112,nc_state_senate_district_31
forsyth_054,592,1402,nc_state_senate_district_31
forsyth_055,653,1595,nc_state_senate_district_31
forsyth_061,307,567,nc_state_senate_district_31
forsyth_062,482,946,nc_state_senate_district_31
forsyth_063,685,1922,nc_state_senate_district_31
forsyth_064,130,304,nc_state_senate_district_31
forsyth_065,729,1825,nc_state_senate_district_31
forsyth_066,411,1029,nc_state_senate_district_31
forsyth_067,73,103,nc_state_senate_district_31
forsyth_068,506,1277,nc_state_senate_district_31
forsyth_071,777,1830,nc_state_senate_district_31
forsyth_072,1048,2366,nc_state_senate_district_31
forsyth_073,529,1643,nc_state_senate_district_31
forsyth_074,839,1270,nc_state_senate_district_31
forsyth_075,128,360,nc_state_senate_district_31
forsyth_081,26,58,nc_state_senate_district_31
forsyth_082,43,126,nc_state_senate_district_31
forsyth_091,430,1026,nc_state_senate_district_31
forsyth_092,305,943,nc_state_senate_district_31
forsyth_101,149,283,nc_state_senate_district_31
forsyth_111,312,885,nc_state_senate_district_31
forsyth_112,440,1044,nc_state_senate_district_31
forsyth_122,392,602,nc_state_senate_district_31
forsyth_123,481,777,nc_state_senate_district_31
forsyth_131,762,1464,nc_state_senate_district_31
forsyth_132,523,1276,nc_state_senate_district_31
forsyth_133,1106,2740,nc_state_senate_district_31
forsyth_507,4,28,nc_state_senate_district_31
forsyth_601,62,33,nc_state_senate_district_31
forsyth_604,131,83,nc_state_senate_district_31
forsyth_701,232,597,nc_state_senate_district_31
forsyth_702,506,452,nc_state_senate_district_31
forsyth_703,411,340,nc_state_senate_district_31
forsyth_704,413,385,nc_state_senate_district_31
forsyth_705,257,239,nc_state_senate_district_31
forsyth_707,224,361,nc_state_senate_district_31
forsyth_708,184,350,nc_state_senate_district_31
forsyth_709,38,113,nc_state_senate_district_31
forsyth_801,447,537,nc_state_senate_district_31
forsyth_802,354,841,nc_state_senate_district_31
forsyth_803,301,1075,nc_state_senate_district_31
forsyth_804,342,653,nc_state_senate_district_31
forsyth_805,599,1217,nc_state_senate_district_31
forsyth_806,430,920,nc_state_senate_district_31
forsyth_807,467,868,nc_state_senate_district_31
forsyth_808,148,228,nc_state_senate_district_31
forsyth_809,693,1374,nc_state_senate_district_31
forsyth_901,320,522,nc_state_senate_district_31
forsyth_903,784,809,nc_state_senate_district_31
forsyth_905,307,346,nc_state_senate_district_31
forsyth_906,348,664,nc_state_senate_district_31
forsyth_907,444,520,nc_state_senate_district_31
forsyth_908,735,1367,nc_state_senate_district_31
forsyth_909,120,192,nc_state_senate_district_31
forsyth_ACCUMULATED,0,0,nc_state_senate_district_31
yadkin_BNVL,318,885,nc_state_senate_district_31
yadkin_DCRK,158,530,nc_state_senate_district_31
yadkin_EBND,268,764,nc_state_senate_district_31
yadkin_FBSH,251,1017,nc_state_senate_district_31
yadkin_NBCK,160,498,nc_state_senate_district_31
yadkin_NFAL,101,442,nc_state_senate_district_31
yadkin_NKNB,403,838,nc_state_senate_district_31
yadkin_NLIB,269,746,nc_state_senate_district_31
yadkin_SBCK,109,314,nc_state_senate_district_31
yadkin_SFAL,137,567,nc_state_senate_district_31
yadkin_SKNB,93,481,nc_state_senate_district_31
yadkin_SLIB,196,706,nc_state_senate_district_31
