prec_id,Phil Feagan,Ralph Hise,election
madison_BEECH,644,823,nc_state_senate_district_47
madison_EBBS C,225,385,nc_state_senate_district_47
madison_GRAPEV,274,336,nc_state_senate_district_47
madison_HOT SP,276,206,nc_state_senate_district_47
madison_LAUREL,257,240,nc_state_senate_district_47
madison_MARS H,1031,1022,nc_state_senate_district_47
madison_NORTH,717,654,nc_state_senate_district_47
madison_REVERE,113,47,nc_state_senate_district_47
madison_SANDY,151,124,nc_state_senate_district_47
madison_SOUTH,316,265,nc_state_senate_district_47
madison_SPRING,290,159,nc_state_senate_district_47
madison_WALNUT,349,390,nc_state_senate_district_47
madison_CURBSIDE,37,32,nc_state_senate_district_47
mcdowell_CCREEK,547,1000,nc_state_senate_district_47
mcdowell_DYSART,452,759,nc_state_senate_district_47
mcdowell_FORT 1,390,454,nc_state_senate_district_47
mcdowell_FORT 2,279,392,nc_state_senate_district_47
mcdowell_GLENWD,372,658,nc_state_senate_district_47
mcdowell_HIGGIN,296,424,nc_state_senate_district_47
mcdowell_M.COVE,337,697,nc_state_senate_district_47
mcdowell_MAR 1,711,988,nc_state_senate_district_47
mcdowell_MAR 2,587,372,nc_state_senate_district_47
mcdowell_MAR 3,240,279,nc_state_senate_district_47
mcdowell_MAR 4,255,291,nc_state_senate_district_47
mcdowell_MAR 5,212,300,nc_state_senate_district_47
mcdowell_N.COVE,192,317,nc_state_senate_district_47
mcdowell_NEBO,678,1046,nc_state_senate_district_47
mcdowell_PLEASA,582,855,nc_state_senate_district_47
mcdowell_T.COVE,148,379,nc_state_senate_district_47
mcdowell_WEST M,831,1181,nc_state_senate_district_47
mitchell_01,114,256,nc_state_senate_district_47
mitchell_02,20,110,nc_state_senate_district_47
mitchell_03,47,123,nc_state_senate_district_47
mitchell_04,384,799,nc_state_senate_district_47
mitchell_05,76,239,nc_state_senate_district_47
mitchell_06,42,151,nc_state_senate_district_47
mitchell_07,20,89,nc_state_senate_district_47
mitchell_08,25,79,nc_state_senate_district_47
mitchell_09,154,243,nc_state_senate_district_47
polk_CG05,300,552,nc_state_senate_district_47
polk_CL07,873,748,nc_state_senate_district_47
polk_CL08,811,876,nc_state_senate_district_47
polk_GC09,847,901,nc_state_senate_district_47
polk_SA04,436,559,nc_state_senate_district_47
polk_TR123,1391,727,nc_state_senate_district_47
polk_WO06,598,558,nc_state_senate_district_47
polk_ACCUMULATED,0,0,nc_state_senate_district_47
rutherford_03A,329,937,nc_state_senate_district_47
rutherford_04A,465,846,nc_state_senate_district_47
rutherford_05A,643,838,nc_state_senate_district_47
rutherford_06A,588,769,nc_state_senate_district_47
rutherford_09A,716,1269,nc_state_senate_district_47
rutherford_10A,168,534,nc_state_senate_district_47
rutherford_11,1140,2017,nc_state_senate_district_47
rutherford_13,1485,996,nc_state_senate_district_47
rutherford_14,782,678,nc_state_senate_district_47
rutherford_16A,528,1001,nc_state_senate_district_47
rutherford_18,523,752,nc_state_senate_district_47
rutherford_19,436,657,nc_state_senate_district_47
rutherford_27,1005,1213,nc_state_senate_district_47
rutherford_28,397,534,nc_state_senate_district_47
rutherford_29,524,625,nc_state_senate_district_47
rutherford_30,1139,878,nc_state_senate_district_47
rutherford_34,280,575,nc_state_senate_district_47
rutherford_CURBSIDE,174,161,nc_state_senate_district_47
yancey_01 BUR,1133,1085,nc_state_senate_district_47
yancey_02 CAN,387,486,nc_state_senate_district_47
yancey_03 EGY,147,168,nc_state_senate_district_47
yancey_04 RAM,118,120,nc_state_senate_district_47
yancey_05 GRE,176,160,nc_state_senate_district_47
yancey_06 JAC,527,415,nc_state_senate_district_47
yancey_07 BRU,137,120,nc_state_senate_district_47
yancey_08 CRA,780,971,nc_state_senate_district_47
yancey_09 SOU,675,603,nc_state_senate_district_47
yancey_10 PEN,159,199,nc_state_senate_district_47
yancey_11 PRI,309,487,nc_state_senate_district_47
yancey_ACCUMULATED,0,0,nc_state_senate_district_47
