prec_id,Mark Bibbs,Susan Martin,election
pitt_0101,364,483,nc_house_of_representatives_district_8
pitt_0200A,252,408,nc_house_of_representatives_district_8
pitt_0200B,374,259,nc_house_of_representatives_district_8
pitt_0800A,441,510,nc_house_of_representatives_district_8
pitt_0800B,357,440,nc_house_of_representatives_district_8
pitt_0901,8,22,nc_house_of_representatives_district_8
pitt_1403A1,156,337,nc_house_of_representatives_district_8
pitt_1403A2,109,73,nc_house_of_representatives_district_8
pitt_1403B,167,172,nc_house_of_representatives_district_8
pitt_1512A,154,268,nc_house_of_representatives_district_8
pitt_1512B,190,239,nc_house_of_representatives_district_8
wilson_PRBL,473,1260,nc_house_of_representatives_district_8
wilson_PRCR,499,987,nc_house_of_representatives_district_8
wilson_PROL,675,1767,nc_house_of_representatives_district_8
wilson_PRSA,45,77,nc_house_of_representatives_district_8
wilson_PRSP,467,810,nc_house_of_representatives_district_8
wilson_PRST,500,389,nc_house_of_representatives_district_8
wilson_PRTA,1711,2378,nc_house_of_representatives_district_8
wilson_PRTO,1236,1275,nc_house_of_representatives_district_8
wilson_PRWD,291,775,nc_house_of_representatives_district_8
wilson_PRWJ,817,846,nc_house_of_representatives_district_8
wilson_PRWK,375,804,nc_house_of_representatives_district_8
wilson_PRWL,751,1017,nc_house_of_representatives_district_8
wilson_PRWM,832,1347,nc_house_of_representatives_district_8
wilson_PRWP,382,831,nc_house_of_representatives_district_8
wilson_CURBSIDE,130,100,nc_house_of_representatives_district_8
