prec_id,Clark Jenkins,election
bertie_C1,146,nc_state_senate_district_3
bertie_C2,195,nc_state_senate_district_3
bertie_IW,113,nc_state_senate_district_3
bertie_M1,153,nc_state_senate_district_3
bertie_M2,271,nc_state_senate_district_3
bertie_MH,142,nc_state_senate_district_3
bertie_RX,397,nc_state_senate_district_3
bertie_SN,168,nc_state_senate_district_3
bertie_W1,515,nc_state_senate_district_3
bertie_W2,119,nc_state_senate_district_3
bertie_WD,288,nc_state_senate_district_3
bertie_WH,198,nc_state_senate_district_3
chowan_1,297,nc_state_senate_district_3
chowan_2,310,nc_state_senate_district_3
chowan_3,221,nc_state_senate_district_3
chowan_4,169,nc_state_senate_district_3
chowan_5,180,nc_state_senate_district_3
chowan_6,199,nc_state_senate_district_3
edgecombe_0101,425,nc_state_senate_district_3
edgecombe_0102,501,nc_state_senate_district_3
edgecombe_0103,419,nc_state_senate_district_3
edgecombe_0104,397,nc_state_senate_district_3
edgecombe_0201,282,nc_state_senate_district_3
edgecombe_0301,121,nc_state_senate_district_3
edgecombe_0401,163,nc_state_senate_district_3
edgecombe_0501,176,nc_state_senate_district_3
edgecombe_0601,273,nc_state_senate_district_3
edgecombe_0701,270,nc_state_senate_district_3
edgecombe_0801,201,nc_state_senate_district_3
edgecombe_0901,233,nc_state_senate_district_3
edgecombe_1001,282,nc_state_senate_district_3
edgecombe_1101,179,nc_state_senate_district_3
edgecombe_1201,659,nc_state_senate_district_3
edgecombe_1202,370,nc_state_senate_district_3
edgecombe_1203,482,nc_state_senate_district_3
edgecombe_1204,315,nc_state_senate_district_3
edgecombe_1205,281,nc_state_senate_district_3
edgecombe_1301,248,nc_state_senate_district_3
edgecombe_1401,207,nc_state_senate_district_3
hertford_A1,391,nc_state_senate_district_3
hertford_A2,338,nc_state_senate_district_3
hertford_A3,303,nc_state_senate_district_3
hertford_BR,145,nc_state_senate_district_3
hertford_CM,135,nc_state_senate_district_3
hertford_CO,171,nc_state_senate_district_3
hertford_HV,258,nc_state_senate_district_3
hertford_M1,493,nc_state_senate_district_3
hertford_M2,238,nc_state_senate_district_3
hertford_ML,82,nc_state_senate_district_3
hertford_SJ,240,nc_state_senate_district_3
hertford_UN,157,nc_state_senate_district_3
hertford_WN,171,nc_state_senate_district_3
martin_BG,465,nc_state_senate_district_3
martin_CR,275,nc_state_senate_district_3
martin_GN,352,nc_state_senate_district_3
martin_GR,368,nc_state_senate_district_3
martin_HM,280,nc_state_senate_district_3
martin_HS,155,nc_state_senate_district_3
martin_J,460,nc_state_senate_district_3
martin_PP,65,nc_state_senate_district_3
martin_R1,377,nc_state_senate_district_3
martin_R2,436,nc_state_senate_district_3
martin_W,260,nc_state_senate_district_3
martin_W1,526,nc_state_senate_district_3
martin_W2,575,nc_state_senate_district_3
northampton_CONWAY,243,nc_state_senate_district_3
northampton_CREEKS,130,nc_state_senate_district_3
northampton_GALATI,138,nc_state_senate_district_3
northampton_GARYSB,379,nc_state_senate_district_3
northampton_GASTON,407,nc_state_senate_district_3
northampton_JACKSO,94,nc_state_senate_district_3
northampton_LAKE G,297,nc_state_senate_district_3
northampton_LASKER,50,nc_state_senate_district_3
northampton_MILWAU,124,nc_state_senate_district_3
northampton_NEWTOW,177,nc_state_senate_district_3
northampton_PENDLE,83,nc_state_senate_district_3
northampton_PLEASA,89,nc_state_senate_district_3
northampton_POTECA,77,nc_state_senate_district_3
northampton_REHOBE,80,nc_state_senate_district_3
northampton_RICH S,261,nc_state_senate_district_3
northampton_SEABOA,220,nc_state_senate_district_3
northampton_SEVERN,123,nc_state_senate_district_3
northampton_WOODLA,215,nc_state_senate_district_3
tyrrell_1,118,nc_state_senate_district_3
tyrrell_2,309,nc_state_senate_district_3
tyrrell_3,53,nc_state_senate_district_3
tyrrell_14,18,nc_state_senate_district_3
tyrrell_15,122,nc_state_senate_district_3
tyrrell_16,7,nc_state_senate_district_3
washington_LM,406,nc_state_senate_district_3
washington_P1,186,nc_state_senate_district_3
washington_P2,202,nc_state_senate_district_3
washington_P3,365,nc_state_senate_district_3
washington_SC,361,nc_state_senate_district_3
washington_SK,224,nc_state_senate_district_3
