prec_id,Ellie Kinnaird,Dave Carter,election
chatham_3,190,403,nc_state_senate_district_23
chatham_6,115,291,nc_state_senate_district_23
chatham_9,178,306,nc_state_senate_district_23
chatham_15,251,174,nc_state_senate_district_23
chatham_18,303,447,nc_state_senate_district_23
chatham_20,253,402,nc_state_senate_district_23
chatham_21,236,248,nc_state_senate_district_23
chatham_24,84,279,nc_state_senate_district_23
chatham_30,159,207,nc_state_senate_district_23
chatham_42,203,299,nc_state_senate_district_23
chatham_45,152,192,nc_state_senate_district_23
chatham_73,333,110,nc_state_senate_district_23
chatham_75,313,445,nc_state_senate_district_23
chatham_78,298,245,nc_state_senate_district_23
chatham_85,219,212,nc_state_senate_district_23
chatham_ESC114,348,279,nc_state_senate_district_23
chatham_MCH110,410,248,nc_state_senate_district_23
chatham_NWM117,252,227,nc_state_senate_district_23
chatham_PIT113,490,421,nc_state_senate_district_23
orange_BC,355,150,nc_state_senate_district_23
orange_BP,158,46,nc_state_senate_district_23
orange_CA,131,211,nc_state_senate_district_23
orange_CB,252,59,nc_state_senate_district_23
orange_CC,141,76,nc_state_senate_district_23
orange_CF,356,191,nc_state_senate_district_23
orange_CG,177,272,nc_state_senate_district_23
orange_CH,217,52,nc_state_senate_district_23
orange_CO,331,100,nc_state_senate_district_23
orange_CP,292,321,nc_state_senate_district_23
orange_CS1,185,140,nc_state_senate_district_23
orange_CW,287,667,nc_state_senate_district_23
orange_CX,478,531,nc_state_senate_district_23
orange_DA,563,196,nc_state_senate_district_23
orange_DM,364,146,nc_state_senate_district_23
orange_EA,215,95,nc_state_senate_district_23
orange_EF,308,338,nc_state_senate_district_23
orange_EH,250,109,nc_state_senate_district_23
orange_ENO,307,355,nc_state_senate_district_23
orange_ES,311,95,nc_state_senate_district_23
orange_GB,430,318,nc_state_senate_district_23
orange_GL,354,204,nc_state_senate_district_23
orange_GR,246,81,nc_state_senate_district_23
orange_H,120,48,nc_state_senate_district_23
orange_HF,474,230,nc_state_senate_district_23
orange_KM,280,155,nc_state_senate_district_23
orange_LC,416,76,nc_state_senate_district_23
orange_LI,263,151,nc_state_senate_district_23
orange_MF,228,96,nc_state_senate_district_23
orange_NC,248,85,nc_state_senate_district_23
orange_NS,271,100,nc_state_senate_district_23
orange_OG,516,421,nc_state_senate_district_23
orange_OW,370,68,nc_state_senate_district_23
orange_PA,428,277,nc_state_senate_district_23
orange_RF,437,150,nc_state_senate_district_23
orange_SJ,402,143,nc_state_senate_district_23
orange_SM,319,423,nc_state_senate_district_23
orange_TH,278,21,nc_state_senate_district_23
orange_TO,155,279,nc_state_senate_district_23
orange_WC,334,278,nc_state_senate_district_23
orange_WD,345,120,nc_state_senate_district_23
orange_WDS,268,31,nc_state_senate_district_23
orange_WH,327,158,nc_state_senate_district_23
orange_WW,178,58,nc_state_senate_district_23
