prec_id,Bill Luton,Bob Steinburg,election
camden_CH,272,385,nc_house_of_representatives_district_1
camden_SH,221,345,nc_house_of_representatives_district_1
camden_SM,312,615,nc_house_of_representatives_district_1
chowan_1,269,100,nc_house_of_representatives_district_1
chowan_2,262,214,nc_house_of_representatives_district_1
chowan_3,147,334,nc_house_of_representatives_district_1
chowan_4,128,152,nc_house_of_representatives_district_1
chowan_5,116,206,nc_house_of_representatives_district_1
chowan_6,154,194,nc_house_of_representatives_district_1
currituck_CB,47,55,nc_house_of_representatives_district_1
currituck_CH,345,782,nc_house_of_representatives_district_1
currituck_CI,51,88,nc_house_of_representatives_district_1
currituck_CJ,123,138,nc_house_of_representatives_district_1
currituck_GW,42,126,nc_house_of_representatives_district_1
currituck_IR,127,272,nc_house_of_representatives_district_1
currituck_KI,166,368,nc_house_of_representatives_district_1
currituck_MY,515,1399,nc_house_of_representatives_district_1
currituck_PB,545,826,nc_house_of_representatives_district_1
currituck_PP,254,436,nc_house_of_representatives_district_1
currituck_WH,110,187,nc_house_of_representatives_district_1
pasquotank_1-A,2,1,nc_house_of_representatives_district_1
pasquotank_1-B,61,71,nc_house_of_representatives_district_1
pasquotank_2-A,93,51,nc_house_of_representatives_district_1
pasquotank_2-B,0,0,nc_house_of_representatives_district_1
pasquotank_4-A,11,11,nc_house_of_representatives_district_1
pasquotank_NEW,146,172,nc_house_of_representatives_district_1
pasquotank_NIX,296,381,nc_house_of_representatives_district_1
pasquotank_PRO,361,470,nc_house_of_representatives_district_1
pasquotank_SAL,112,193,nc_house_of_representatives_district_1
perquimans_BELVID,180,287,nc_house_of_representatives_district_1
perquimans_BETHEL,707,1152,nc_house_of_representatives_district_1
perquimans_EAST H,510,232,nc_house_of_representatives_district_1
perquimans_NEW HO,557,852,nc_house_of_representatives_district_1
perquimans_NICANO,69,77,nc_house_of_representatives_district_1
perquimans_PARKVI,659,586,nc_house_of_representatives_district_1
perquimans_WEST H,281,271,nc_house_of_representatives_district_1
perquimans_CURBSIDE,0,0,nc_house_of_representatives_district_1
tyrrell_1,116,6,nc_house_of_representatives_district_1
tyrrell_2,238,178,nc_house_of_representatives_district_1
tyrrell_3,40,40,nc_house_of_representatives_district_1
tyrrell_14,8,23,nc_house_of_representatives_district_1
tyrrell_15,98,60,nc_house_of_representatives_district_1
tyrrell_16,9,2,nc_house_of_representatives_district_1
