prec_id,Jenifer Bubenik,Leo Daughtry,election
johnston_PR09,272,597,nc_house_of_representatives_district_26
johnston_PR10A,239,222,nc_house_of_representatives_district_26
johnston_PR10B,141,260,nc_house_of_representatives_district_26
johnston_PR11A,235,368,nc_house_of_representatives_district_26
johnston_PR11B,351,518,nc_house_of_representatives_district_26
johnston_PR12A,253,530,nc_house_of_representatives_district_26
johnston_PR12B,273,491,nc_house_of_representatives_district_26
johnston_PR20,408,768,nc_house_of_representatives_district_26
johnston_PR27A,189,193,nc_house_of_representatives_district_26
johnston_PR27B,219,353,nc_house_of_representatives_district_26
johnston_PR28,281,615,nc_house_of_representatives_district_26
johnston_PR29A,242,604,nc_house_of_representatives_district_26
johnston_PR29B,441,817,nc_house_of_representatives_district_26
johnston_PR30,344,548,nc_house_of_representatives_district_26
johnston_PR31B,59,113,nc_house_of_representatives_district_26
johnston_PR32,291,618,nc_house_of_representatives_district_26
johnston_PR34,456,535,nc_house_of_representatives_district_26
