prec_id,"Fletcher L. Hartsell, Jr.",election
cabarrus_01-02,1197,nc_state_senate_district_36
cabarrus_01-04,1809,nc_state_senate_district_36
cabarrus_01-06,1425,nc_state_senate_district_36
cabarrus_01-07,1377,nc_state_senate_district_36
cabarrus_01-08,1474,nc_state_senate_district_36
cabarrus_01-09,566,nc_state_senate_district_36
cabarrus_01-10,1326,nc_state_senate_district_36
cabarrus_02-01,1310,nc_state_senate_district_36
cabarrus_02-02,1934,nc_state_senate_district_36
cabarrus_02-03,2521,nc_state_senate_district_36
cabarrus_02-05,1991,nc_state_senate_district_36
cabarrus_02-06,1261,nc_state_senate_district_36
cabarrus_02-07,1546,nc_state_senate_district_36
cabarrus_02-08,2277,nc_state_senate_district_36
cabarrus_02-09,2150,nc_state_senate_district_36
cabarrus_03-00,1898,nc_state_senate_district_36
cabarrus_04-01,1121,nc_state_senate_district_36
cabarrus_04-02,820,nc_state_senate_district_36
cabarrus_04-03,1106,nc_state_senate_district_36
cabarrus_04-04,526,nc_state_senate_district_36
cabarrus_04-05,610,nc_state_senate_district_36
cabarrus_04-06,672,nc_state_senate_district_36
cabarrus_04-07,895,nc_state_senate_district_36
cabarrus_04-08,732,nc_state_senate_district_36
cabarrus_04-09,1333,nc_state_senate_district_36
cabarrus_04-10,1652,nc_state_senate_district_36
cabarrus_05-00,1467,nc_state_senate_district_36
cabarrus_06-00,1143,nc_state_senate_district_36
cabarrus_07-00,567,nc_state_senate_district_36
cabarrus_08-00,1990,nc_state_senate_district_36
cabarrus_09-00,1281,nc_state_senate_district_36
cabarrus_10-00,2382,nc_state_senate_district_36
cabarrus_11-01,1758,nc_state_senate_district_36
cabarrus_11-02,1450,nc_state_senate_district_36
cabarrus_12-01,228,nc_state_senate_district_36
cabarrus_12-02,519,nc_state_senate_district_36
cabarrus_12-03,998,nc_state_senate_district_36
cabarrus_12-04,985,nc_state_senate_district_36
cabarrus_12-05,1112,nc_state_senate_district_36
cabarrus_12-06,623,nc_state_senate_district_36
cabarrus_12-07,202,nc_state_senate_district_36
cabarrus_12-08,500,nc_state_senate_district_36
cabarrus_12-09,961,nc_state_senate_district_36
cabarrus_12-10,647,nc_state_senate_district_36
cabarrus_12-11,669,nc_state_senate_district_36
cabarrus_12-12,897,nc_state_senate_district_36
cabarrus_ACCUMULATED,0,nc_state_senate_district_36
union_012,1356,nc_state_senate_district_36
union_032,1686,nc_state_senate_district_36
union_035,1076,nc_state_senate_district_36
union_037B,884,nc_state_senate_district_36
union_CURBSIDE,0,nc_state_senate_district_36
