prec_id,Tommy Tucker,election
union_001,266,nc_state_senate_district_35
union_002,469,nc_state_senate_district_35
union_003,365,nc_state_senate_district_35
union_004,193,nc_state_senate_district_35
union_005,1411,nc_state_senate_district_35
union_006,941,nc_state_senate_district_35
union_007,1431,nc_state_senate_district_35
union_008,871,nc_state_senate_district_35
union_009,391,nc_state_senate_district_35
union_010,326,nc_state_senate_district_35
union_011,1447,nc_state_senate_district_35
union_013,1592,nc_state_senate_district_35
union_014,717,nc_state_senate_district_35
union_015,2079,nc_state_senate_district_35
union_016,2046,nc_state_senate_district_35
union_017A,1648,nc_state_senate_district_35
union_017B,2071,nc_state_senate_district_35
union_018,1541,nc_state_senate_district_35
union_019,2170,nc_state_senate_district_35
union_020A,1498,nc_state_senate_district_35
union_020B,1530,nc_state_senate_district_35
union_021,1244,nc_state_senate_district_35
union_022,1500,nc_state_senate_district_35
union_023,997,nc_state_senate_district_35
union_024,1215,nc_state_senate_district_35
union_025,964,nc_state_senate_district_35
union_026,925,nc_state_senate_district_35
union_027,917,nc_state_senate_district_35
union_028A,2247,nc_state_senate_district_35
union_028B,1999,nc_state_senate_district_35
union_028C,1876,nc_state_senate_district_35
union_028D,1766,nc_state_senate_district_35
union_029A,1723,nc_state_senate_district_35
union_029B,903,nc_state_senate_district_35
union_029C,1074,nc_state_senate_district_35
union_030,1915,nc_state_senate_district_35
union_031,1530,nc_state_senate_district_35
union_033,1251,nc_state_senate_district_35
union_034,1646,nc_state_senate_district_35
union_036,972,nc_state_senate_district_35
union_037A,1823,nc_state_senate_district_35
union_038A,1473,nc_state_senate_district_35
union_038B,1283,nc_state_senate_district_35
union_039,1119,nc_state_senate_district_35
union_040,2047,nc_state_senate_district_35
union_041,1786,nc_state_senate_district_35
union_042,873,nc_state_senate_district_35
union_043,142,nc_state_senate_district_35
union_CURBSIDE,0,nc_state_senate_district_35
