prec_id,Jim Babe Hardison,John Bell,election
craven_03,235,624,nc_house_of_representatives_district_10
craven_04,0,0,nc_house_of_representatives_district_10
craven_05,129,263,nc_house_of_representatives_district_10
craven_06,42,51,nc_house_of_representatives_district_10
craven_07,111,181,nc_house_of_representatives_district_10
craven_08,2,8,nc_house_of_representatives_district_10
craven_09,8,21,nc_house_of_representatives_district_10
craven_10,31,92,nc_house_of_representatives_district_10
craven_14,14,45,nc_house_of_representatives_district_10
craven_15,68,61,nc_house_of_representatives_district_10
craven_N2,55,90,nc_house_of_representatives_district_10
craven_N3,177,234,nc_house_of_representatives_district_10
craven_N4,221,219,nc_house_of_representatives_district_10
craven_N6,253,435,nc_house_of_representatives_district_10
greene_BULL,19,37,nc_house_of_representatives_district_10
greene_CAST,83,164,nc_house_of_representatives_district_10
greene_MAUR,84,124,nc_house_of_representatives_district_10
greene_SHIN,86,250,nc_house_of_representatives_district_10
greene_WALS,195,181,nc_house_of_representatives_district_10
lenoir_C,295,449,nc_house_of_representatives_district_10
lenoir_FC,981,1794,nc_house_of_representatives_district_10
lenoir_I,46,87,nc_house_of_representatives_district_10
lenoir_K4,701,734,nc_house_of_representatives_district_10
lenoir_K5,20,38,nc_house_of_representatives_district_10
lenoir_MH,327,503,nc_house_of_representatives_district_10
lenoir_N,617,1064,nc_house_of_representatives_district_10
lenoir_PH1,115,282,nc_house_of_representatives_district_10
lenoir_PH2,213,563,nc_house_of_representatives_district_10
lenoir_SH,31,72,nc_house_of_representatives_district_10
lenoir_SW,221,429,nc_house_of_representatives_district_10
lenoir_T1,281,608,nc_house_of_representatives_district_10
lenoir_T2,137,455,nc_house_of_representatives_district_10
lenoir_W,237,497,nc_house_of_representatives_district_10
lenoir_CURBSIDE,0,0,nc_house_of_representatives_district_10
wayne_1,111,331,nc_house_of_representatives_district_10
wayne_2,204,465,nc_house_of_representatives_district_10
wayne_3,119,463,nc_house_of_representatives_district_10
wayne_4,174,541,nc_house_of_representatives_district_10
wayne_5,0,0,nc_house_of_representatives_district_10
wayne_6,0,0,nc_house_of_representatives_district_10
wayne_7,25,64,nc_house_of_representatives_district_10
wayne_8,78,402,nc_house_of_representatives_district_10
wayne_13,0,2,nc_house_of_representatives_district_10
wayne_24,59,388,nc_house_of_representatives_district_10
