prec_id,Mike McIntyre,David Rouzer,election
johnston_PR26,294,163,us_house_of_representatives_district_7
johnston_PR27A,210,174,us_house_of_representatives_district_7
johnston_PR27B,251,326,us_house_of_representatives_district_7
johnston_PR28,358,534,us_house_of_representatives_district_7
johnston_PR29A,260,592,us_house_of_representatives_district_7
johnston_PR29B,447,826,us_house_of_representatives_district_7
johnston_PR30,380,514,us_house_of_representatives_district_7
johnston_PR31A,187,335,us_house_of_representatives_district_7
johnston_PR31B,374,749,us_house_of_representatives_district_7
johnston_PR32,317,591,us_house_of_representatives_district_7
johnston_PR33,342,961,us_house_of_representatives_district_7
johnston_PR34,484,519,us_house_of_representatives_district_7
johnston_PR35,648,1336,us_house_of_representatives_district_7
johnston_PR36,447,869,us_house_of_representatives_district_7
johnston_PR37,454,1010,us_house_of_representatives_district_7
johnston_PR38,215,851,us_house_of_representatives_district_7
lenoir_FC,1009,1774,us_house_of_representatives_district_7
lenoir_I,388,694,us_house_of_representatives_district_7
lenoir_K4,989,877,us_house_of_representatives_district_7
lenoir_N,942,1105,us_house_of_representatives_district_7
lenoir_PH1,95,293,us_house_of_representatives_district_7
lenoir_PH2,250,528,us_house_of_representatives_district_7
lenoir_SW,222,431,us_house_of_representatives_district_7
lenoir_T1,265,616,us_house_of_representatives_district_7
lenoir_T2,165,425,us_house_of_representatives_district_7
lenoir_W,218,514,us_house_of_representatives_district_7
lenoir_CURBSIDE,2,1,us_house_of_representatives_district_7
new hanover_CF02,909,932,us_house_of_representatives_district_7
new hanover_CF05,1004,1023,us_house_of_representatives_district_7
new hanover_CF06,1025,913,us_house_of_representatives_district_7
new hanover_FP02,989,797,us_house_of_representatives_district_7
new hanover_FP03,629,594,us_house_of_representatives_district_7
new hanover_FP04,1373,1356,us_house_of_representatives_district_7
new hanover_FP05,733,709,us_house_of_representatives_district_7
new hanover_FP06,1175,1257,us_house_of_representatives_district_7
new hanover_FP07,1371,1580,us_house_of_representatives_district_7
new hanover_H01,732,505,us_house_of_representatives_district_7
new hanover_H02,893,1608,us_house_of_representatives_district_7
new hanover_H03,1693,1749,us_house_of_representatives_district_7
new hanover_H04,1220,1237,us_house_of_representatives_district_7
new hanover_H05,1215,1307,us_house_of_representatives_district_7
new hanover_H06,1120,903,us_house_of_representatives_district_7
new hanover_H08,1916,2019,us_house_of_representatives_district_7
new hanover_H09,2205,2859,us_house_of_representatives_district_7
new hanover_H10,1488,981,us_house_of_representatives_district_7
new hanover_H11,1778,1892,us_house_of_representatives_district_7
new hanover_M02,2160,2211,us_house_of_representatives_district_7
new hanover_M03,1214,1135,us_house_of_representatives_district_7
new hanover_M04,2317,2122,us_house_of_representatives_district_7
new hanover_M06,1035,1129,us_house_of_representatives_district_7
new hanover_M07,681,663,us_house_of_representatives_district_7
new hanover_W12,862,430,us_house_of_representatives_district_7
new hanover_W16,1278,960,us_house_of_representatives_district_7
new hanover_W17,1002,802,us_house_of_representatives_district_7
new hanover_W18,630,442,us_house_of_representatives_district_7
new hanover_W21,1457,1122,us_house_of_representatives_district_7
new hanover_W28,10,17,us_house_of_representatives_district_7
new hanover_W30,1728,1016,us_house_of_representatives_district_7
new hanover_W31,1355,1311,us_house_of_representatives_district_7
new hanover_WB,752,857,us_house_of_representatives_district_7
pender_SH12,420,744,us_house_of_representatives_district_7
pender_SC13,867,969,us_house_of_representatives_district_7
pender_UT14,856,1379,us_house_of_representatives_district_7
pender_SP15,761,979,us_house_of_representatives_district_7
pender_LT18,761,1156,us_house_of_representatives_district_7
pender_MT19,793,1041,us_house_of_representatives_district_7
pender_CURBSIDE,29,19,us_house_of_representatives_district_7
robeson_10,307,152,us_house_of_representatives_district_7
robeson_21,569,374,us_house_of_representatives_district_7
robeson_27,222,102,us_house_of_representatives_district_7
robeson_33,157,44,us_house_of_representatives_district_7
robeson_34,366,110,us_house_of_representatives_district_7
robeson_CURBSIDE,0,0,us_house_of_representatives_district_7
robeson_ACCUMULATED,0,0,us_house_of_representatives_district_7
sampson_AUTR,186,363,us_house_of_representatives_district_7
sampson_CLEM,203,416,us_house_of_representatives_district_7
sampson_CLCE,182,24,us_house_of_representatives_district_7
sampson_CLEA,427,175,us_house_of_representatives_district_7
sampson_CLNE,235,249,us_house_of_representatives_district_7
sampson_CLSW,210,144,us_house_of_representatives_district_7
sampson_CLWE,188,234,us_house_of_representatives_district_7
sampson_GARL,208,127,us_house_of_representatives_district_7
sampson_GIDD,232,175,us_house_of_representatives_district_7
sampson_HARR,442,224,us_house_of_representatives_district_7
sampson_HERR,73,304,us_house_of_representatives_district_7
sampson_INGO,154,142,us_house_of_representatives_district_7
sampson_KEEN,172,269,us_house_of_representatives_district_7
sampson_KFRK,252,236,us_house_of_representatives_district_7
sampson_LAKE,453,145,us_house_of_representatives_district_7
sampson_MING,304,725,us_house_of_representatives_district_7
sampson_NGRV,182,283,us_house_of_representatives_district_7
sampson_PLVW,231,854,us_house_of_representatives_district_7
sampson_ROSE,168,218,us_house_of_representatives_district_7
sampson_ROWA,210,254,us_house_of_representatives_district_7
sampson_SBRG,164,259,us_house_of_representatives_district_7
sampson_TURK,259,168,us_house_of_representatives_district_7
sampson_WBRK,193,361,us_house_of_representatives_district_7
sampson_CURBSIDE,0,0,us_house_of_representatives_district_7
