prec_id,Rick Gunn,Brandon Black,election
alamance_01,1650,256,nc_state_senate_district_24
alamance_02,1881,317,nc_state_senate_district_24
alamance_035,1436,410,nc_state_senate_district_24
alamance_03C,1332,304,nc_state_senate_district_24
alamance_03N,1416,415,nc_state_senate_district_24
alamance_03N2,260,48,nc_state_senate_district_24
alamance_03S,2152,689,nc_state_senate_district_24
alamance_03W,1110,335,nc_state_senate_district_24
alamance_04,1967,286,nc_state_senate_district_24
alamance_05,1307,236,nc_state_senate_district_24
alamance_063,682,335,nc_state_senate_district_24
alamance_064,1739,498,nc_state_senate_district_24
alamance_06E,758,304,nc_state_senate_district_24
alamance_06N,505,303,nc_state_senate_district_24
alamance_06S,1151,309,nc_state_senate_district_24
alamance_06W,355,137,nc_state_senate_district_24
alamance_07,1556,252,nc_state_senate_district_24
alamance_08N,1158,296,nc_state_senate_district_24
alamance_08S,697,153,nc_state_senate_district_24
alamance_09N,756,233,nc_state_senate_district_24
alamance_09S,1691,525,nc_state_senate_district_24
alamance_103,1209,256,nc_state_senate_district_24
alamance_10N,1495,422,nc_state_senate_district_24
alamance_10S,2210,938,nc_state_senate_district_24
alamance_11,971,405,nc_state_senate_district_24
alamance_124,749,273,nc_state_senate_district_24
alamance_125,923,253,nc_state_senate_district_24
alamance_126,1013,256,nc_state_senate_district_24
alamance_127,753,537,nc_state_senate_district_24
alamance_128,432,279,nc_state_senate_district_24
alamance_129,773,175,nc_state_senate_district_24
alamance_1210,599,265,nc_state_senate_district_24
alamance_12E,386,200,nc_state_senate_district_24
alamance_12N,397,444,nc_state_senate_district_24
alamance_12S,258,168,nc_state_senate_district_24
alamance_12W,742,375,nc_state_senate_district_24
alamance_13,1027,367,nc_state_senate_district_24
alamance_CURBSIDE,0,0,nc_state_senate_district_24
randolph_14,347,27,nc_state_senate_district_24
randolph_17,535,46,nc_state_senate_district_24
randolph_19,582,69,nc_state_senate_district_24
randolph_20,594,102,nc_state_senate_district_24
randolph_21,825,83,nc_state_senate_district_24
randolph_23,830,130,nc_state_senate_district_24
randolph_27,215,7,nc_state_senate_district_24
randolph_29,961,112,nc_state_senate_district_24
randolph_30,821,86,nc_state_senate_district_24
randolph_31,674,131,nc_state_senate_district_24
randolph_35,758,55,nc_state_senate_district_24
