prec_id,Malcolm Graham,Earl Lyndon Philip,election
mecklenburg_3,1506,99,nc_state_senate_district_40
mecklenburg_4,1142,322,nc_state_senate_district_40
mecklenburg_7,659,229,nc_state_senate_district_40
mecklenburg_13,350,70,nc_state_senate_district_40
mecklenburg_14,1398,118,nc_state_senate_district_40
mecklenburg_17,1105,49,nc_state_senate_district_40
mecklenburg_26,2206,203,nc_state_senate_district_40
mecklenburg_27,1630,71,nc_state_senate_district_40
mecklenburg_28,1180,151,nc_state_senate_district_40
mecklenburg_34,493,163,nc_state_senate_district_40
mecklenburg_35,227,124,nc_state_senate_district_40
mecklenburg_42,1864,47,nc_state_senate_district_40
mecklenburg_43,1813,163,nc_state_senate_district_40
mecklenburg_54,1761,36,nc_state_senate_district_40
mecklenburg_55,1111,7,nc_state_senate_district_40
mecklenburg_56,1012,18,nc_state_senate_district_40
mecklenburg_60,1430,52,nc_state_senate_district_40
mecklenburg_62,1122,195,nc_state_senate_district_40
mecklenburg_63,1143,221,nc_state_senate_district_40
mecklenburg_64,165,8,nc_state_senate_district_40
mecklenburg_82,2015,65,nc_state_senate_district_40
mecklenburg_83,1435,568,nc_state_senate_district_40
mecklenburg_85,364,118,nc_state_senate_district_40
mecklenburg_94,951,340,nc_state_senate_district_40
mecklenburg_95,1056,210,nc_state_senate_district_40
mecklenburg_99,1208,145,nc_state_senate_district_40
mecklenburg_102,2018,752,nc_state_senate_district_40
mecklenburg_104,2006,117,nc_state_senate_district_40
mecklenburg_105,1860,401,nc_state_senate_district_40
mecklenburg_107.1,1905,402,nc_state_senate_district_40
mecklenburg_108,1375,127,nc_state_senate_district_40
mecklenburg_115,776,321,nc_state_senate_district_40
mecklenburg_116,955,182,nc_state_senate_district_40
mecklenburg_117,1017,291,nc_state_senate_district_40
mecklenburg_123,1326,274,nc_state_senate_district_40
mecklenburg_124,1479,165,nc_state_senate_district_40
mecklenburg_125,675,193,nc_state_senate_district_40
mecklenburg_126,1718,281,nc_state_senate_district_40
mecklenburg_130,815,248,nc_state_senate_district_40
mecklenburg_132,831,290,nc_state_senate_district_40
mecklenburg_146,2391,403,nc_state_senate_district_40
mecklenburg_149,2388,492,nc_state_senate_district_40
mecklenburg_201,1405,436,nc_state_senate_district_40
mecklenburg_203,1909,384,nc_state_senate_district_40
mecklenburg_204.1,2021,405,nc_state_senate_district_40
mecklenburg_205,602,164,nc_state_senate_district_40
mecklenburg_234,413,262,nc_state_senate_district_40
mecklenburg_235,867,281,nc_state_senate_district_40
mecklenburg_CURBSIDE,1231,83,nc_state_senate_district_40
