prec_id,Stan Bingham,election
davidson_04,2761,nc_state_senate_district_33
davidson_06,1268,nc_state_senate_district_33
davidson_08,540,nc_state_senate_district_33
davidson_10,1160,nc_state_senate_district_33
davidson_12,484,nc_state_senate_district_33
davidson_14,917,nc_state_senate_district_33
davidson_16,1657,nc_state_senate_district_33
davidson_18,974,nc_state_senate_district_33
davidson_20,1393,nc_state_senate_district_33
davidson_22,438,nc_state_senate_district_33
davidson_24,607,nc_state_senate_district_33
davidson_26,448,nc_state_senate_district_33
davidson_28,1204,nc_state_senate_district_33
davidson_30,355,nc_state_senate_district_33
davidson_32,429,nc_state_senate_district_33
davidson_34,599,nc_state_senate_district_33
davidson_36,459,nc_state_senate_district_33
davidson_38,217,nc_state_senate_district_33
davidson_40,866,nc_state_senate_district_33
davidson_42,1247,nc_state_senate_district_33
davidson_44,2072,nc_state_senate_district_33
davidson_46,1340,nc_state_senate_district_33
davidson_48,1304,nc_state_senate_district_33
davidson_50,1666,nc_state_senate_district_33
davidson_52,2198,nc_state_senate_district_33
davidson_54,891,nc_state_senate_district_33
davidson_56,657,nc_state_senate_district_33
davidson_58,1323,nc_state_senate_district_33
davidson_60,1886,nc_state_senate_district_33
davidson_62,372,nc_state_senate_district_33
davidson_64,304,nc_state_senate_district_33
davidson_66,677,nc_state_senate_district_33
davidson_68,821,nc_state_senate_district_33
davidson_70,1265,nc_state_senate_district_33
davidson_72,1428,nc_state_senate_district_33
davidson_74,1957,nc_state_senate_district_33
davidson_76,1724,nc_state_senate_district_33
davidson_78,1619,nc_state_senate_district_33
davidson_80A,2534,nc_state_senate_district_33
davidson_82,1376,nc_state_senate_district_33
davidson_84,2307,nc_state_senate_district_33
davidson_86A,1540,nc_state_senate_district_33
davidson_88,1261,nc_state_senate_district_33
davidson_CURBSIDE,252,nc_state_senate_district_33
montgomery_BIS,339,nc_state_senate_district_33
montgomery_CAN,356,nc_state_senate_district_33
montgomery_CHE,234,nc_state_senate_district_33
montgomery_ELD,381,nc_state_senate_district_33
montgomery_LIT,199,nc_state_senate_district_33
montgomery_MTG,359,nc_state_senate_district_33
montgomery_OPH,122,nc_state_senate_district_33
montgomery_PEE,325,nc_state_senate_district_33
montgomery_ROC,127,nc_state_senate_district_33
montgomery_STA,532,nc_state_senate_district_33
montgomery_T1,357,nc_state_senate_district_33
montgomery_T2,276,nc_state_senate_district_33
montgomery_UWH,368,nc_state_senate_district_33
montgomery_WAD,118,nc_state_senate_district_33
