prec_id,Lisa Baker,Nelson Dollar,election
wake_43927,404,452,nc_house_of_representatives_district_36
wake_43928,312,565,nc_house_of_representatives_district_36
wake_43931,477,528,nc_house_of_representatives_district_36
wake_43933,381,450,nc_house_of_representatives_district_36
wake_43935,304,335,nc_house_of_representatives_district_36
wake_43937,385,341,nc_house_of_representatives_district_36
wake_43940,212,271,nc_house_of_representatives_district_36
wake_43989,490,601,nc_house_of_representatives_district_36
wake_44170,634,1134,nc_house_of_representatives_district_36
wake_44172,289,509,nc_house_of_representatives_district_36
wake_15-02,382,565,nc_house_of_representatives_district_36
wake_18-02,493,953,nc_house_of_representatives_district_36
wake_18-03,278,460,nc_house_of_representatives_district_36
wake_18-04,302,469,nc_house_of_representatives_district_36
wake_18-05,576,936,nc_house_of_representatives_district_36
wake_18-07,377,679,nc_house_of_representatives_district_36
wake_18-08,315,464,nc_house_of_representatives_district_36
wake_20-01,429,371,nc_house_of_representatives_district_36
wake_20-05,452,647,nc_house_of_representatives_district_36
wake_20-09,356,465,nc_house_of_representatives_district_36
