prec_id,Angela R. Bryant,election
franklin_01,1159,nc_house_of_representatives_district_7
franklin_02,760,nc_house_of_representatives_district_7
franklin_03,1169,nc_house_of_representatives_district_7
franklin_08,217,nc_house_of_representatives_district_7
franklin_09,167,nc_house_of_representatives_district_7
franklin_10,207,nc_house_of_representatives_district_7
franklin_11,905,nc_house_of_representatives_district_7
franklin_12,573,nc_house_of_representatives_district_7
franklin_15,1456,nc_house_of_representatives_district_7
franklin_16,1117,nc_house_of_representatives_district_7
nash_0002,183,nc_house_of_representatives_district_7
nash_0003,165,nc_house_of_representatives_district_7
nash_0004,1,nc_house_of_representatives_district_7
nash_0007,362,nc_house_of_representatives_district_7
nash_0008,93,nc_house_of_representatives_district_7
nash_0011,191,nc_house_of_representatives_district_7
nash_0012,43,nc_house_of_representatives_district_7
nash_0015,318,nc_house_of_representatives_district_7
nash_0021,305,nc_house_of_representatives_district_7
nash_0022,220,nc_house_of_representatives_district_7
nash_0025,119,nc_house_of_representatives_district_7
nash_0031,221,nc_house_of_representatives_district_7
nash_0032,257,nc_house_of_representatives_district_7
nash_0033,509,nc_house_of_representatives_district_7
nash_0034,643,nc_house_of_representatives_district_7
nash_0035,202,nc_house_of_representatives_district_7
nash_0036,404,nc_house_of_representatives_district_7
nash_0037,283,nc_house_of_representatives_district_7
nash_0038,469,nc_house_of_representatives_district_7
nash_0039,164,nc_house_of_representatives_district_7
nash_0040A,750,nc_house_of_representatives_district_7
nash_0041,60,nc_house_of_representatives_district_7
nash_0042,235,nc_house_of_representatives_district_7
