prec_id,John T. McDevitt,Warren Daniel,Richard C. Evey,election
burke_0001,874,1039,53,nc_state_senate_district_46
burke_0003,226,496,20,nc_state_senate_district_46
burke_0011,430,1125,59,nc_state_senate_district_46
burke_0012,239,945,30,nc_state_senate_district_46
burke_0013,403,1225,59,nc_state_senate_district_46
burke_0014,306,919,43,nc_state_senate_district_46
burke_0015,273,635,27,nc_state_senate_district_46
burke_0018,137,171,6,nc_state_senate_district_46
burke_0019,190,221,10,nc_state_senate_district_46
burke_0020,313,305,14,nc_state_senate_district_46
burke_0021,369,468,27,nc_state_senate_district_46
burke_0022,439,756,23,nc_state_senate_district_46
burke_0024,675,974,50,nc_state_senate_district_46
burke_0029-A,172,508,23,nc_state_senate_district_46
burke_0029-B,240,426,17,nc_state_senate_district_46
burke_0031,827,375,41,nc_state_senate_district_46
burke_0034,792,498,21,nc_state_senate_district_46
burke_0035,583,360,21,nc_state_senate_district_46
burke_0036,500,671,26,nc_state_senate_district_46
burke_0038,589,708,48,nc_state_senate_district_46
burke_0039,583,426,29,nc_state_senate_district_46
burke_0040,459,559,43,nc_state_senate_district_46
burke_0047-A,842,490,28,nc_state_senate_district_46
burke_0047-B,455,375,17,nc_state_senate_district_46
burke_0048,738,659,35,nc_state_senate_district_46
burke_0051,927,1083,66,nc_state_senate_district_46
burke_0052,348,382,28,nc_state_senate_district_46
burke_0053,426,790,42,nc_state_senate_district_46
burke_0062,235,283,12,nc_state_senate_district_46
burke_0064,209,299,16,nc_state_senate_district_46
burke_0065,193,456,13,nc_state_senate_district_46
burke_0066,454,708,40,nc_state_senate_district_46
burke_0070,620,942,45,nc_state_senate_district_46
cleveland_B SPGS,830,1643,73,nc_state_senate_district_46
cleveland_BETHWR,327,746,42,nc_state_senate_district_46
cleveland_CASAR,131,671,33,nc_state_senate_district_46
cleveland_FALSTN,242,730,34,nc_state_senate_district_46
cleveland_GROVER,641,1223,56,nc_state_senate_district_46
cleveland_H SPGS,130,295,10,nc_state_senate_district_46
cleveland_KINGST,469,199,16,nc_state_senate_district_46
cleveland_KM N,1280,1569,78,nc_state_senate_district_46
cleveland_KM S,1191,1445,84,nc_state_senate_district_46
cleveland_LATT,436,1191,52,nc_state_senate_district_46
cleveland_LAWNDL,677,490,22,nc_state_senate_district_46
cleveland_MRB-YO,263,621,32,nc_state_senate_district_46
cleveland_MULLS,317,847,34,nc_state_senate_district_46
cleveland_OAKGRV,540,1450,61,nc_state_senate_district_46
cleveland_POLKVL,405,967,41,nc_state_senate_district_46
cleveland_RIPPY,883,1308,68,nc_state_senate_district_46
cleveland_S 1,865,432,23,nc_state_senate_district_46
cleveland_S 2,958,1189,46,nc_state_senate_district_46
cleveland_S 3,699,428,29,nc_state_senate_district_46
cleveland_S 4,1054,564,33,nc_state_senate_district_46
cleveland_S 5,904,779,36,nc_state_senate_district_46
cleveland_S 6,1099,809,42,nc_state_senate_district_46
cleveland_S 7,836,985,38,nc_state_senate_district_46
cleveland_S 8,764,737,26,nc_state_senate_district_46
cleveland_SHANGI,623,1123,46,nc_state_senate_district_46
cleveland_WACO,779,1186,57,nc_state_senate_district_46
