prec_id,Garland E. Pierce,election
hoke_01,140,nc_house_of_representatives_district_48
hoke_02,626,nc_house_of_representatives_district_48
hoke_03,465,nc_house_of_representatives_district_48
hoke_04,203,nc_house_of_representatives_district_48
hoke_05,373,nc_house_of_representatives_district_48
hoke_13,30,nc_house_of_representatives_district_48
hoke_61,877,nc_house_of_representatives_district_48
hoke_62,436,nc_house_of_representatives_district_48
hoke_63,1395,nc_house_of_representatives_district_48
hoke_64,830,nc_house_of_representatives_district_48
hoke_65,598,nc_house_of_representatives_district_48
hoke_ACCUMULATED,0,nc_house_of_representatives_district_48
richmond_01,595,nc_house_of_representatives_district_48
richmond_02,29,nc_house_of_representatives_district_48
richmond_04,129,nc_house_of_representatives_district_48
richmond_05,6,nc_house_of_representatives_district_48
richmond_07,154,nc_house_of_representatives_district_48
richmond_08,636,nc_house_of_representatives_district_48
richmond_09,411,nc_house_of_representatives_district_48
richmond_10,146,nc_house_of_representatives_district_48
richmond_11,91,nc_house_of_representatives_district_48
richmond_12,169,nc_house_of_representatives_district_48
richmond_ACCUMULATED,0,nc_house_of_representatives_district_48
robeson_01,18,nc_house_of_representatives_district_48
robeson_02,141,nc_house_of_representatives_district_48
robeson_05,476,nc_house_of_representatives_district_48
robeson_06,185,nc_house_of_representatives_district_48
robeson_07,142,nc_house_of_representatives_district_48
robeson_15,132,nc_house_of_representatives_district_48
robeson_16,233,nc_house_of_representatives_district_48
robeson_17,167,nc_house_of_representatives_district_48
robeson_19,931,nc_house_of_representatives_district_48
robeson_26,400,nc_house_of_representatives_district_48
robeson_27,190,nc_house_of_representatives_district_48
robeson_29,457,nc_house_of_representatives_district_48
robeson_36,52,nc_house_of_representatives_district_48
robeson_CURBSIDE,0,nc_house_of_representatives_district_48
robeson_ACCUMULATED,0,nc_house_of_representatives_district_48
scotland_1,1597,nc_house_of_representatives_district_48
scotland_2,1124,nc_house_of_representatives_district_48
scotland_3,574,nc_house_of_representatives_district_48
scotland_4,586,nc_house_of_representatives_district_48
scotland_5,508,nc_house_of_representatives_district_48
scotland_6,265,nc_house_of_representatives_district_48
scotland_7,1582,nc_house_of_representatives_district_48
scotland_8,87,nc_house_of_representatives_district_48
scotland_9,0,nc_house_of_representatives_district_48
scotland_10,504,nc_house_of_representatives_district_48
