prec_id,Rodney W. Moore,election
mecklenburg_3,1515,nc_house_of_representatives_district_99
mecklenburg_4,1220,nc_house_of_representatives_district_99
mecklenburg_6,452,nc_house_of_representatives_district_99
mecklenburg_43,1830,nc_house_of_representatives_district_99
mecklenburg_60,1416,nc_house_of_representatives_district_99
mecklenburg_61,633,nc_house_of_representatives_district_99
mecklenburg_83,733,nc_house_of_representatives_district_99
mecklenburg_84,1314,nc_house_of_representatives_district_99
mecklenburg_95,1108,nc_house_of_representatives_district_99
mecklenburg_104,1999,nc_house_of_representatives_district_99
mecklenburg_108,1400,nc_house_of_representatives_district_99
mecklenburg_116,986,nc_house_of_representatives_district_99
mecklenburg_123,1389,nc_house_of_representatives_district_99
mecklenburg_124,1583,nc_house_of_representatives_district_99
mecklenburg_149,2526,nc_house_of_representatives_district_99
mecklenburg_201,1341,nc_house_of_representatives_district_99
mecklenburg_203,2190,nc_house_of_representatives_district_99
mecklenburg_204.1,2721,nc_house_of_representatives_district_99
mecklenburg_205,666,nc_house_of_representatives_district_99
mecklenburg_CURBSIDE,408,nc_house_of_representatives_district_99
