prec_id,Jamar McKoy,Kelly E. Hastings,"Lewis B. Guignard, Jr.",election
cleveland_S 1,839,464,12,nc_house_of_representatives_district_110
cleveland_S 2,899,1226,56,nc_house_of_representatives_district_110
cleveland_S 4,1021,601,25,nc_house_of_representatives_district_110
cleveland_S 5,860,813,49,nc_house_of_representatives_district_110
cleveland_S 8,720,777,28,nc_house_of_representatives_district_110
cleveland_WACO,744,1231,48,nc_house_of_representatives_district_110
gaston_05,20,42,2,nc_house_of_representatives_district_110
gaston_20,157,518,33,nc_house_of_representatives_district_110
gaston_21,211,296,20,nc_house_of_representatives_district_110
gaston_22,197,615,49,nc_house_of_representatives_district_110
gaston_33,61,280,12,nc_house_of_representatives_district_110
gaston_34,108,434,34,nc_house_of_representatives_district_110
gaston_35,151,423,22,nc_house_of_representatives_district_110
gaston_36,214,793,33,nc_house_of_representatives_district_110
gaston_37,163,455,23,nc_house_of_representatives_district_110
gaston_38,100,383,32,nc_house_of_representatives_district_110
gaston_39,112,639,54,nc_house_of_representatives_district_110
gaston_40,206,400,25,nc_house_of_representatives_district_110
gaston_41,119,317,34,nc_house_of_representatives_district_110
gaston_ACCUMULATED,0,0,0,nc_house_of_representatives_district_110
