prec_id,Patsy Keever,Patrick McHenry,election
buncombe_01.1,397,60,us_house_of_representatives_district_10
buncombe_02.1,756,86,us_house_of_representatives_district_10
buncombe_03.1,521,76,us_house_of_representatives_district_10
buncombe_04.1,271,84,us_house_of_representatives_district_10
buncombe_05.1,320,209,us_house_of_representatives_district_10
buncombe_06.1,285,118,us_house_of_representatives_district_10
buncombe_07.1,266,76,us_house_of_representatives_district_10
buncombe_08.2,383,169,us_house_of_representatives_district_10
buncombe_08.3,393,169,us_house_of_representatives_district_10
buncombe_09.1,614,292,us_house_of_representatives_district_10
buncombe_10.1,422,19,us_house_of_representatives_district_10
buncombe_11.1,305,28,us_house_of_representatives_district_10
buncombe_12.1,394,111,us_house_of_representatives_district_10
buncombe_13.1,470,90,us_house_of_representatives_district_10
buncombe_14.2,405,131,us_house_of_representatives_district_10
buncombe_14.3,204,101,us_house_of_representatives_district_10
buncombe_15.1,258,76,us_house_of_representatives_district_10
buncombe_16.2,472,122,us_house_of_representatives_district_10
buncombe_17.1,325,121,us_house_of_representatives_district_10
buncombe_20.1,128,50,us_house_of_representatives_district_10
buncombe_21.1,428,238,us_house_of_representatives_district_10
buncombe_22.2,307,173,us_house_of_representatives_district_10
buncombe_23.2,64,37,us_house_of_representatives_district_10
buncombe_23.3,154,151,us_house_of_representatives_district_10
buncombe_25.1,357,264,us_house_of_representatives_district_10
buncombe_27.2,111,73,us_house_of_representatives_district_10
buncombe_28.1,386,107,us_house_of_representatives_district_10
buncombe_31.1,214,347,us_house_of_representatives_district_10
buncombe_32.1,219,242,us_house_of_representatives_district_10
buncombe_33.2,176,164,us_house_of_representatives_district_10
buncombe_33.3,273,241,us_house_of_representatives_district_10
buncombe_34.1,179,153,us_house_of_representatives_district_10
buncombe_35.1,223,164,us_house_of_representatives_district_10
buncombe_36.1,238,240,us_house_of_representatives_district_10
buncombe_37.1,151,265,us_house_of_representatives_district_10
buncombe_38.2,112,267,us_house_of_representatives_district_10
buncombe_38.3,256,506,us_house_of_representatives_district_10
buncombe_39.2,178,214,us_house_of_representatives_district_10
buncombe_39.3,208,266,us_house_of_representatives_district_10
buncombe_42.1,329,282,us_house_of_representatives_district_10
buncombe_43.2,239,201,us_house_of_representatives_district_10
buncombe_55.1,298,385,us_house_of_representatives_district_10
buncombe_57.1,318,454,us_house_of_representatives_district_10
buncombe_60.2,174,140,us_house_of_representatives_district_10
buncombe_60.4,144,226,us_house_of_representatives_district_10
buncombe_61.1,350,398,us_house_of_representatives_district_10
buncombe_62.1,340,327,us_house_of_representatives_district_10
buncombe_64.1,234,288,us_house_of_representatives_district_10
buncombe_65.1,471,284,us_house_of_representatives_district_10
buncombe_66.1,263,170,us_house_of_representatives_district_10
buncombe_70.1,366,283,us_house_of_representatives_district_10
catawba_01,488,1661,us_house_of_representatives_district_10
catawba_02,383,1046,us_house_of_representatives_district_10
catawba_03,456,968,us_house_of_representatives_district_10
catawba_05,736,1137,us_house_of_representatives_district_10
catawba_06,484,1031,us_house_of_representatives_district_10
catawba_07,814,1015,us_house_of_representatives_district_10
catawba_08,525,1129,us_house_of_representatives_district_10
catawba_09,374,1128,us_house_of_representatives_district_10
catawba_10,272,126,us_house_of_representatives_district_10
catawba_13,6,5,us_house_of_representatives_district_10
catawba_14,458,639,us_house_of_representatives_district_10
catawba_17,416,519,us_house_of_representatives_district_10
catawba_19,308,383,us_house_of_representatives_district_10
catawba_20,671,1344,us_house_of_representatives_district_10
catawba_21,286,753,us_house_of_representatives_district_10
catawba_22,745,1283,us_house_of_representatives_district_10
catawba_23,856,1728,us_house_of_representatives_district_10
catawba_24,780,1830,us_house_of_representatives_district_10
catawba_25,531,606,us_house_of_representatives_district_10
catawba_26,501,736,us_house_of_representatives_district_10
catawba_27,640,1614,us_house_of_representatives_district_10
catawba_28,699,1309,us_house_of_representatives_district_10
catawba_29,438,1118,us_house_of_representatives_district_10
catawba_30,959,1328,us_house_of_representatives_district_10
catawba_31,676,1901,us_house_of_representatives_district_10
catawba_32,845,998,us_house_of_representatives_district_10
catawba_33,1175,2593,us_house_of_representatives_district_10
catawba_34,1003,2125,us_house_of_representatives_district_10
catawba_35,574,815,us_house_of_representatives_district_10
catawba_36,537,973,us_house_of_representatives_district_10
catawba_39,462,1113,us_house_of_representatives_district_10
catawba_40,491,533,us_house_of_representatives_district_10
catawba_41,505,1479,us_house_of_representatives_district_10
catawba_CURBSIDE,259,331,us_house_of_representatives_district_10
cleveland_B SPGS,844,1732,us_house_of_representatives_district_10
cleveland_BETHWR,319,805,us_house_of_representatives_district_10
cleveland_CASAR,138,713,us_house_of_representatives_district_10
cleveland_FALSTN,221,798,us_house_of_representatives_district_10
cleveland_GROVER,627,1293,us_house_of_representatives_district_10
cleveland_H SPGS,134,303,us_house_of_representatives_district_10
cleveland_KINGST,479,218,us_house_of_representatives_district_10
cleveland_KM N,1256,1692,us_house_of_representatives_district_10
cleveland_KM S,1160,1555,us_house_of_representatives_district_10
cleveland_LATT,453,1237,us_house_of_representatives_district_10
cleveland_LAWNDL,700,501,us_house_of_representatives_district_10
cleveland_MRB-YO,284,661,us_house_of_representatives_district_10
cleveland_MULLS,318,887,us_house_of_representatives_district_10
cleveland_OAKGRV,519,1557,us_house_of_representatives_district_10
cleveland_POLKVL,385,1058,us_house_of_representatives_district_10
cleveland_RIPPY,914,1347,us_house_of_representatives_district_10
cleveland_S 1,884,446,us_house_of_representatives_district_10
cleveland_S 2,993,1234,us_house_of_representatives_district_10
cleveland_S 3,717,442,us_house_of_representatives_district_10
cleveland_S 4,1060,597,us_house_of_representatives_district_10
cleveland_S 5,931,817,us_house_of_representatives_district_10
cleveland_S 6,1076,893,us_house_of_representatives_district_10
cleveland_S 7,874,998,us_house_of_representatives_district_10
cleveland_S 8,763,779,us_house_of_representatives_district_10
cleveland_SHANGI,648,1164,us_house_of_representatives_district_10
cleveland_WACO,837,1204,us_house_of_representatives_district_10
gaston_01,137,156,us_house_of_representatives_district_10
gaston_02,324,196,us_house_of_representatives_district_10
gaston_03,232,153,us_house_of_representatives_district_10
gaston_04,338,631,us_house_of_representatives_district_10
gaston_05,330,158,us_house_of_representatives_district_10
gaston_06,282,83,us_house_of_representatives_district_10
gaston_07,220,8,us_house_of_representatives_district_10
gaston_08,217,121,us_house_of_representatives_district_10
gaston_09,171,192,us_house_of_representatives_district_10
gaston_10,241,279,us_house_of_representatives_district_10
gaston_11,166,137,us_house_of_representatives_district_10
gaston_12,200,358,us_house_of_representatives_district_10
gaston_13,245,472,us_house_of_representatives_district_10
gaston_14,114,188,us_house_of_representatives_district_10
gaston_15,337,624,us_house_of_representatives_district_10
gaston_16,180,490,us_house_of_representatives_district_10
gaston_17,234,429,us_house_of_representatives_district_10
gaston_18,430,589,us_house_of_representatives_district_10
gaston_19,317,626,us_house_of_representatives_district_10
gaston_20,207,516,us_house_of_representatives_district_10
gaston_21,229,306,us_house_of_representatives_district_10
gaston_22,240,640,us_house_of_representatives_district_10
gaston_23,268,492,us_house_of_representatives_district_10
gaston_24,283,401,us_house_of_representatives_district_10
gaston_25,173,362,us_house_of_representatives_district_10
gaston_26,216,397,us_house_of_representatives_district_10
gaston_27,288,715,us_house_of_representatives_district_10
gaston_28,240,515,us_house_of_representatives_district_10
gaston_29,207,676,us_house_of_representatives_district_10
gaston_30,164,407,us_house_of_representatives_district_10
gaston_31,191,537,us_house_of_representatives_district_10
gaston_32,222,520,us_house_of_representatives_district_10
gaston_33,71,284,us_house_of_representatives_district_10
gaston_34,146,439,us_house_of_representatives_district_10
gaston_35,158,448,us_house_of_representatives_district_10
gaston_36,240,833,us_house_of_representatives_district_10
gaston_37,198,461,us_house_of_representatives_district_10
gaston_38,148,379,us_house_of_representatives_district_10
gaston_39,163,642,us_house_of_representatives_district_10
gaston_40,235,400,us_house_of_representatives_district_10
gaston_41,147,335,us_house_of_representatives_district_10
gaston_42,171,488,us_house_of_representatives_district_10
gaston_43,241,565,us_house_of_representatives_district_10
gaston_44,324,627,us_house_of_representatives_district_10
gaston_45,200,350,us_house_of_representatives_district_10
gaston_46,253,536,us_house_of_representatives_district_10
gaston_ACCUMULATED,0,0,us_house_of_representatives_district_10
lincoln_AS25,216,532,us_house_of_representatives_district_10
lincoln_BC13,155,226,us_house_of_representatives_district_10
lincoln_BS26,176,393,us_house_of_representatives_district_10
lincoln_CF19,107,311,us_house_of_representatives_district_10
lincoln_CR06,157,206,us_house_of_representatives_district_10
lincoln_DN29,199,516,us_house_of_representatives_district_10
lincoln_DV08,304,616,us_house_of_representatives_district_10
lincoln_DW28,159,434,us_house_of_representatives_district_10
lincoln_HG17,173,300,us_house_of_representatives_district_10
lincoln_HV07,296,564,us_house_of_representatives_district_10
lincoln_IS20,137,416,us_house_of_representatives_district_10
lincoln_IS23,222,532,us_house_of_representatives_district_10
lincoln_LI14,148,265,us_house_of_representatives_district_10
lincoln_LM16,183,285,us_house_of_representatives_district_10
lincoln_LN11,211,233,us_house_of_representatives_district_10
lincoln_LS12,211,181,us_house_of_representatives_district_10
lincoln_LS15,134,393,us_house_of_representatives_district_10
lincoln_LW18,98,250,us_house_of_representatives_district_10
lincoln_LW31,242,511,us_house_of_representatives_district_10
lincoln_NB03,80,303,us_house_of_representatives_district_10
lincoln_NB09,209,489,us_house_of_representatives_district_10
lincoln_OB21,135,580,us_house_of_representatives_district_10
lincoln_OG10,183,377,us_house_of_representatives_district_10
lincoln_PC22,250,635,us_house_of_representatives_district_10
lincoln_SL24,202,432,us_house_of_representatives_district_10
lincoln_TE27,121,309,us_house_of_representatives_district_10
lincoln_TR30,86,177,us_house_of_representatives_district_10
lincoln_WP32,318,721,us_house_of_representatives_district_10
polk_CG05,239,606,us_house_of_representatives_district_10
