prec_id,Darren Jackson,election
wake_44076,1002,nc_house_of_representatives_district_39
wake_44107,641,nc_house_of_representatives_district_39
wake_44108,1057,nc_house_of_representatives_district_39
wake_13-01,228,nc_house_of_representatives_district_39
wake_15-01,116,nc_house_of_representatives_district_39
wake_15-02,372,nc_house_of_representatives_district_39
wake_15-04,378,nc_house_of_representatives_district_39
wake_16-01,409,nc_house_of_representatives_district_39
wake_16-03,134,nc_house_of_representatives_district_39
wake_16-04,246,nc_house_of_representatives_district_39
wake_16-05,465,nc_house_of_representatives_district_39
wake_16-06,112,nc_house_of_representatives_district_39
wake_16-07,691,nc_house_of_representatives_district_39
wake_16-08,50,nc_house_of_representatives_district_39
wake_16-09,431,nc_house_of_representatives_district_39
wake_17-03,637,nc_house_of_representatives_district_39
wake_17-04,558,nc_house_of_representatives_district_39
wake_17-05,14,nc_house_of_representatives_district_39
wake_17-06,419,nc_house_of_representatives_district_39
wake_17-08,903,nc_house_of_representatives_district_39
wake_17-11,146,nc_house_of_representatives_district_39
wake_19-17,804,nc_house_of_representatives_district_39
