prec_id,Gene Mitchell Mahaffey,Rena W. Turner,election
iredell_BE,954,2527,nc_house_of_representatives_district_84
iredell_CD,787,2245,nc_house_of_representatives_district_84
iredell_CH-A,695,1028,nc_house_of_representatives_district_84
iredell_CS,583,1131,nc_house_of_representatives_district_84
iredell_EM,208,555,nc_house_of_representatives_district_84
iredell_FT,1305,3316,nc_house_of_representatives_district_84
iredell_NH,230,570,nc_house_of_representatives_district_84
iredell_OL,191,700,nc_house_of_representatives_district_84
iredell_SB,278,957,nc_house_of_representatives_district_84
iredell_SH-A,560,1468,nc_house_of_representatives_district_84
iredell_SH-B,515,1506,nc_house_of_representatives_district_84
iredell_ST1,1021,1553,nc_house_of_representatives_district_84
iredell_ST2,851,1029,nc_house_of_representatives_district_84
iredell_ST3,1399,801,nc_house_of_representatives_district_84
iredell_ST4,888,1199,nc_house_of_representatives_district_84
iredell_ST5,1104,993,nc_house_of_representatives_district_84
iredell_TB,536,998,nc_house_of_representatives_district_84
iredell_UG,283,708,nc_house_of_representatives_district_84
