prec_id,Deborah K. Ross,Apryl Major (Write-in),Write-in (miscellaneous),election
wake_43831,479,3,13,nc_house_of_representatives_district_34
wake_43832,560,0,14,nc_house_of_representatives_district_34
wake_43835,345,2,9,nc_house_of_representatives_district_34
wake_43836,655,2,17,nc_house_of_representatives_district_34
wake_43837,433,3,4,nc_house_of_representatives_district_34
wake_01-07A,104,0,1,nc_house_of_representatives_district_34
wake_43839,394,3,12,nc_house_of_representatives_district_34
wake_43840,447,5,18,nc_house_of_representatives_district_34
wake_43842,494,1,13,nc_house_of_representatives_district_34
wake_43843,345,2,5,nc_house_of_representatives_district_34
wake_43844,741,2,9,nc_house_of_representatives_district_34
wake_43846,602,3,6,nc_house_of_representatives_district_34
wake_43848,680,11,13,nc_house_of_representatives_district_34
wake_43857,199,3,1,nc_house_of_representatives_district_34
wake_43858,84,0,0,nc_house_of_representatives_district_34
wake_12055,467,3,6,nc_house_of_representatives_district_34
wake_13516,431,4,20,nc_house_of_representatives_district_34
wake_13881,542,3,4,nc_house_of_representatives_district_34
wake_14246,494,11,14,nc_house_of_representatives_district_34
wake_15707,533,3,11,nc_house_of_representatives_district_34
wake_16072,515,9,7,nc_house_of_representatives_district_34
wake_16438,364,21,15,nc_house_of_representatives_district_34
wake_16803,87,0,1,nc_house_of_representatives_district_34
wake_18629,295,48,3,nc_house_of_representatives_district_34
wake_43926,39,1,0,nc_house_of_representatives_district_34
wake_44013,481,35,13,nc_house_of_representatives_district_34
wake_44016,917,7,18,nc_house_of_representatives_district_34
wake_44022,600,4,11,nc_house_of_representatives_district_34
wake_44045,247,4,10,nc_house_of_representatives_district_34
wake_44049,568,4,6,nc_house_of_representatives_district_34
wake_44053,446,2,6,nc_house_of_representatives_district_34
wake_44136,478,1,6,nc_house_of_representatives_district_34
