prec_id,Larry D. Hall,election
durham_02,54,nc_house_of_representatives_district_29
durham_06,50,nc_house_of_representatives_district_29
durham_07,104,nc_house_of_representatives_district_29
durham_08,417,nc_house_of_representatives_district_29
durham_09,477,nc_house_of_representatives_district_29
durham_10,254,nc_house_of_representatives_district_29
durham_12,182,nc_house_of_representatives_district_29
durham_13,322,nc_house_of_representatives_district_29
durham_14,352,nc_house_of_representatives_district_29
durham_15,330,nc_house_of_representatives_district_29
durham_16,404,nc_house_of_representatives_district_29
durham_17,576,nc_house_of_representatives_district_29
durham_18,61,nc_house_of_representatives_district_29
durham_33,122,nc_house_of_representatives_district_29
durham_34-1,454,nc_house_of_representatives_district_29
durham_34-2,550,nc_house_of_representatives_district_29
durham_35.3,248,nc_house_of_representatives_district_29
durham_36,461,nc_house_of_representatives_district_29
durham_38,300,nc_house_of_representatives_district_29
durham_39,125,nc_house_of_representatives_district_29
durham_40,392,nc_house_of_representatives_district_29
durham_41,364,nc_house_of_representatives_district_29
durham_42,278,nc_house_of_representatives_district_29
durham_47,350,nc_house_of_representatives_district_29
durham_48,72,nc_house_of_representatives_district_29
durham_51,515,nc_house_of_representatives_district_29
durham_53-1,101,nc_house_of_representatives_district_29
durham_54,821,nc_house_of_representatives_district_29
durham_55-11,410,nc_house_of_representatives_district_29
durham_55-49,298,nc_house_of_representatives_district_29
