prec_id,Jim Cates,Hugh Blackwell,election
burke_0001,760,1176,nc_house_of_representatives_district_86
burke_0003,214,521,nc_house_of_representatives_district_86
burke_0011,363,1233,nc_house_of_representatives_district_86
burke_0012,200,992,nc_house_of_representatives_district_86
burke_0013,369,1301,nc_house_of_representatives_district_86
burke_0014,270,982,nc_house_of_representatives_district_86
burke_0015,217,705,nc_house_of_representatives_district_86
burke_0018,117,193,nc_house_of_representatives_district_86
burke_0019,163,251,nc_house_of_representatives_district_86
burke_0020,302,324,nc_house_of_representatives_district_86
burke_0021,297,560,nc_house_of_representatives_district_86
burke_0022,331,879,nc_house_of_representatives_district_86
burke_0024,505,1183,nc_house_of_representatives_district_86
burke_0031,820,409,nc_house_of_representatives_district_86
burke_0034,665,638,nc_house_of_representatives_district_86
burke_0035,555,401,nc_house_of_representatives_district_86
burke_0036,464,704,nc_house_of_representatives_district_86
burke_0038,544,784,nc_house_of_representatives_district_86
burke_0039,556,462,nc_house_of_representatives_district_86
burke_0040,434,596,nc_house_of_representatives_district_86
burke_0047-A,800,549,nc_house_of_representatives_district_86
burke_0047-B,413,415,nc_house_of_representatives_district_86
burke_0048,674,745,nc_house_of_representatives_district_86
burke_0051,899,1151,nc_house_of_representatives_district_86
burke_0052,343,396,nc_house_of_representatives_district_86
burke_0062,241,285,nc_house_of_representatives_district_86
burke_0066,499,683,nc_house_of_representatives_district_86
burke_0070,569,1019,nc_house_of_representatives_district_86
