prec_id,Cullie Tarleton,Jonathan C. Jordan,election
ashe_02,204,260,nc_house_of_representatives_district_93
ashe_03,54,170,nc_house_of_representatives_district_93
ashe_04,65,113,nc_house_of_representatives_district_93
ashe_06,76,145,nc_house_of_representatives_district_93
ashe_07,72,84,nc_house_of_representatives_district_93
ashe_08,43,42,nc_house_of_representatives_district_93
ashe_09,442,427,nc_house_of_representatives_district_93
ashe_10,39,65,nc_house_of_representatives_district_93
ashe_11,336,351,nc_house_of_representatives_district_93
ashe_12,97,236,nc_house_of_representatives_district_93
ashe_13,150,254,nc_house_of_representatives_district_93
ashe_14,209,337,nc_house_of_representatives_district_93
ashe_15,98,239,nc_house_of_representatives_district_93
ashe_16,232,376,nc_house_of_representatives_district_93
ashe_17,150,230,nc_house_of_representatives_district_93
ashe_18,29,51,nc_house_of_representatives_district_93
ashe_20,389,486,nc_house_of_representatives_district_93
watauga_01,88,97,nc_house_of_representatives_district_93
watauga_02,132,292,nc_house_of_representatives_district_93
watauga_03,442,376,nc_house_of_representatives_district_93
watauga_04,340,501,nc_house_of_representatives_district_93
watauga_05,171,75,nc_house_of_representatives_district_93
watauga_06,277,183,nc_house_of_representatives_district_93
watauga_07,316,397,nc_house_of_representatives_district_93
watauga_08,261,508,nc_house_of_representatives_district_93
watauga_09,76,123,nc_house_of_representatives_district_93
watauga_10,136,230,nc_house_of_representatives_district_93
watauga_11,281,463,nc_house_of_representatives_district_93
watauga_12,143,89,nc_house_of_representatives_district_93
watauga_13,238,172,nc_house_of_representatives_district_93
watauga_14,285,323,nc_house_of_representatives_district_93
watauga_15,360,370,nc_house_of_representatives_district_93
watauga_16,12,51,nc_house_of_representatives_district_93
watauga_17,89,169,nc_house_of_representatives_district_93
watauga_18,190,504,nc_house_of_representatives_district_93
watauga_19,281,387,nc_house_of_representatives_district_93
watauga_20,56,102,nc_house_of_representatives_district_93
