prec_id,Brad Salmon,Ronald Rabin,election
harnett_PR01,846,1083,nc_state_senate_district_12
harnett_PR07,778,1183,nc_state_senate_district_12
harnett_PR08,769,1078,nc_state_senate_district_12
harnett_PR16,770,764,nc_state_senate_district_12
harnett_PR20,577,305,nc_state_senate_district_12
harnett_PR23,790,485,nc_state_senate_district_12
harnett_PR24,706,1042,nc_state_senate_district_12
harnett_PR25,752,571,nc_state_senate_district_12
harnett_PR26,494,696,nc_state_senate_district_12
harnett_PR28,737,1130,nc_state_senate_district_12
harnett_PR29,688,716,nc_state_senate_district_12
harnett_PR30,662,606,nc_state_senate_district_12
johnston_PR13,0,1,nc_state_senate_district_12
johnston_PR14,104,300,nc_state_senate_district_12
johnston_PR23A,111,292,nc_state_senate_district_12
johnston_PR23B,280,741,nc_state_senate_district_12
johnston_PR31B,72,246,nc_state_senate_district_12
johnston_PR33,313,916,nc_state_senate_district_12
johnston_PR35,552,722,nc_state_senate_district_12
lee_A1,377,316,nc_state_senate_district_12
lee_A2,511,217,nc_state_senate_district_12
lee_B1,218,332,nc_state_senate_district_12
lee_B2,212,214,nc_state_senate_district_12
lee_C1,331,405,nc_state_senate_district_12
lee_C2,187,355,nc_state_senate_district_12
lee_D1,334,476,nc_state_senate_district_12
lee_D2,325,450,nc_state_senate_district_12
lee_E1,342,388,nc_state_senate_district_12
lee_E2,273,237,nc_state_senate_district_12
lee_ACCUMULATED,0,0,nc_state_senate_district_12
