prec_id,Bill Brawley,election
mecklenburg_83,619,nc_house_of_representatives_district_103
mecklenburg_91,1202,nc_house_of_representatives_district_103
mecklenburg_94,129,nc_house_of_representatives_district_103
mecklenburg_102,604,nc_house_of_representatives_district_103
mecklenburg_115,33,nc_house_of_representatives_district_103
mecklenburg_116,1,nc_house_of_representatives_district_103
mecklenburg_136,1065,nc_house_of_representatives_district_103
mecklenburg_201,1330,nc_house_of_representatives_district_103
mecklenburg_203,464,nc_house_of_representatives_district_103
mecklenburg_205,762,nc_house_of_representatives_district_103
mecklenburg_215,1564,nc_house_of_representatives_district_103
mecklenburg_216,1810,nc_house_of_representatives_district_103
mecklenburg_217,360,nc_house_of_representatives_district_103
mecklenburg_218,1374,nc_house_of_representatives_district_103
mecklenburg_219,1036,nc_house_of_representatives_district_103
mecklenburg_220,1379,nc_house_of_representatives_district_103
mecklenburg_221,2107,nc_house_of_representatives_district_103
mecklenburg_227,729,nc_house_of_representatives_district_103
mecklenburg_233,1888,nc_house_of_representatives_district_103
mecklenburg_234,1246,nc_house_of_representatives_district_103
mecklenburg_235,1063,nc_house_of_representatives_district_103
mecklenburg_236,1916,nc_house_of_representatives_district_103
mecklenburg_CURBSIDE,67,nc_house_of_representatives_district_103
