prec_id,Martha Alexander,Rob Bryan,election
mecklenburg_1,179,301,nc_house_of_representatives_district_88
mecklenburg_8,584,915,nc_house_of_representatives_district_88
mecklenburg_9,793,706,nc_house_of_representatives_district_88
mecklenburg_10,857,782,nc_house_of_representatives_district_88
mecklenburg_18,419,755,nc_house_of_representatives_district_88
mecklenburg_19,498,667,nc_house_of_representatives_district_88
mecklenburg_20,794,761,nc_house_of_representatives_district_88
mecklenburg_21,816,490,nc_house_of_representatives_district_88
mecklenburg_32,495,886,nc_house_of_representatives_district_88
mecklenburg_37,650,747,nc_house_of_representatives_district_88
mecklenburg_38,812,411,nc_house_of_representatives_district_88
mecklenburg_47,248,353,nc_house_of_representatives_district_88
mecklenburg_49,663,806,nc_house_of_representatives_district_88
mecklenburg_50,678,490,nc_house_of_representatives_district_88
mecklenburg_51,963,777,nc_house_of_representatives_district_88
mecklenburg_57,553,734,nc_house_of_representatives_district_88
mecklenburg_58,563,484,nc_house_of_representatives_district_88
mecklenburg_59,530,342,nc_house_of_representatives_district_88
mecklenburg_75,742,1290,nc_house_of_representatives_district_88
mecklenburg_76,816,1132,nc_house_of_representatives_district_88
mecklenburg_86,211,522,nc_house_of_representatives_district_88
mecklenburg_87,458,430,nc_house_of_representatives_district_88
mecklenburg_88,812,782,nc_house_of_representatives_district_88
mecklenburg_92,789,1083,nc_house_of_representatives_district_88
mecklenburg_93,470,729,nc_house_of_representatives_district_88
mecklenburg_101,634,908,nc_house_of_representatives_district_88
mecklenburg_120,13,12,nc_house_of_representatives_district_88
mecklenburg_226,765,1041,nc_house_of_representatives_district_88
mecklenburg_CURBSIDE,126,95,nc_house_of_representatives_district_88
