prec_id,Earline W. Parmon,Reginald Reid,election
forsyth_013,546,666,nc_state_senate_district_32
forsyth_031,371,181,nc_state_senate_district_32
forsyth_032,212,194,nc_state_senate_district_32
forsyth_033,939,632,nc_state_senate_district_32
forsyth_042,767,523,nc_state_senate_district_32
forsyth_043,570,251,nc_state_senate_district_32
forsyth_061,285,274,nc_state_senate_district_32
forsyth_063,87,40,nc_state_senate_district_32
forsyth_064,193,185,nc_state_senate_district_32
forsyth_065,44,56,nc_state_senate_district_32
forsyth_066,31,41,nc_state_senate_district_32
forsyth_067,453,618,nc_state_senate_district_32
forsyth_072,155,143,nc_state_senate_district_32
forsyth_081,1313,781,nc_state_senate_district_32
forsyth_082,1657,1144,nc_state_senate_district_32
forsyth_083,1107,484,nc_state_senate_district_32
forsyth_101,694,529,nc_state_senate_district_32
forsyth_111,5,13,nc_state_senate_district_32
forsyth_112,296,230,nc_state_senate_district_32
forsyth_122,1524,968,nc_state_senate_district_32
forsyth_123,366,293,nc_state_senate_district_32
forsyth_131,33,21,nc_state_senate_district_32
forsyth_132,348,391,nc_state_senate_district_32
forsyth_201,2384,409,nc_state_senate_district_32
forsyth_203,1177,25,nc_state_senate_district_32
forsyth_204,1007,87,nc_state_senate_district_32
forsyth_205,592,9,nc_state_senate_district_32
forsyth_206,1125,113,nc_state_senate_district_32
forsyth_207,1218,255,nc_state_senate_district_32
forsyth_301,732,7,nc_state_senate_district_32
forsyth_302,788,31,nc_state_senate_district_32
forsyth_303,593,13,nc_state_senate_district_32
forsyth_304,1625,34,nc_state_senate_district_32
forsyth_305,1094,19,nc_state_senate_district_32
forsyth_306,981,128,nc_state_senate_district_32
forsyth_401,1201,81,nc_state_senate_district_32
forsyth_402,1110,21,nc_state_senate_district_32
forsyth_403,1185,46,nc_state_senate_district_32
forsyth_404,1323,156,nc_state_senate_district_32
forsyth_405,1895,30,nc_state_senate_district_32
forsyth_501,1394,112,nc_state_senate_district_32
forsyth_502,1034,36,nc_state_senate_district_32
forsyth_503,842,146,nc_state_senate_district_32
forsyth_504,817,115,nc_state_senate_district_32
forsyth_505,971,220,nc_state_senate_district_32
forsyth_506,624,424,nc_state_senate_district_32
forsyth_507,2098,1214,nc_state_senate_district_32
forsyth_601,827,298,nc_state_senate_district_32
forsyth_602,1750,1104,nc_state_senate_district_32
forsyth_603,1034,319,nc_state_senate_district_32
forsyth_604,593,168,nc_state_senate_district_32
forsyth_605,1722,771,nc_state_senate_district_32
forsyth_606,731,431,nc_state_senate_district_32
forsyth_607,961,727,nc_state_senate_district_32
forsyth_701,154,34,nc_state_senate_district_32
forsyth_702,157,41,nc_state_senate_district_32
forsyth_703,48,36,nc_state_senate_district_32
forsyth_704,312,138,nc_state_senate_district_32
forsyth_705,619,307,nc_state_senate_district_32
forsyth_706,536,369,nc_state_senate_district_32
forsyth_707,289,102,nc_state_senate_district_32
forsyth_708,1273,917,nc_state_senate_district_32
forsyth_709,958,694,nc_state_senate_district_32
forsyth_806,34,10,nc_state_senate_district_32
forsyth_807,71,36,nc_state_senate_district_32
forsyth_808,1245,544,nc_state_senate_district_32
forsyth_901,331,123,nc_state_senate_district_32
forsyth_902,797,252,nc_state_senate_district_32
forsyth_903,393,146,nc_state_senate_district_32
forsyth_904,1239,353,nc_state_senate_district_32
forsyth_905,542,183,nc_state_senate_district_32
forsyth_906,726,467,nc_state_senate_district_32
forsyth_907,268,134,nc_state_senate_district_32
forsyth_908,6,4,nc_state_senate_district_32
forsyth_909,381,290,nc_state_senate_district_32
forsyth_ACCUMULATED,0,0,nc_state_senate_district_32
