prec_id,Jane Whilden,Tim Moffitt,election
buncombe_18.2,467,465,nc_house_of_representatives_district_116
buncombe_19.1,11,7,nc_house_of_representatives_district_116
buncombe_24.1,90,103,nc_house_of_representatives_district_116
buncombe_29.2,179,144,nc_house_of_representatives_district_116
buncombe_30.2,158,258,nc_house_of_representatives_district_116
buncombe_30.3,194,318,nc_house_of_representatives_district_116
buncombe_31.1,251,316,nc_house_of_representatives_district_116
buncombe_43.2,0,0,nc_house_of_representatives_district_116
buncombe_44.1,322,439,nc_house_of_representatives_district_116
buncombe_45.1,367,528,nc_house_of_representatives_district_116
buncombe_46.1,144,179,nc_house_of_representatives_district_116
buncombe_47.1,337,673,nc_house_of_representatives_district_116
buncombe_48.1,296,507,nc_house_of_representatives_district_116
buncombe_49.1,349,717,nc_house_of_representatives_district_116
buncombe_52.1,58,127,nc_house_of_representatives_district_116
buncombe_53.1,210,412,nc_house_of_representatives_district_116
buncombe_54.2,325,364,nc_house_of_representatives_district_116
buncombe_55.1,270,412,nc_house_of_representatives_district_116
buncombe_56.2,236,290,nc_house_of_representatives_district_116
buncombe_57.1,144,306,nc_house_of_representatives_district_116
buncombe_63.1,92,144,nc_house_of_representatives_district_116
buncombe_68.1,370,536,nc_house_of_representatives_district_116
buncombe_681,47,109,nc_house_of_representatives_district_116
buncombe_69.1,279,452,nc_house_of_representatives_district_116
