prec_id,Erik Anderson,Walter B. Jones,election
beaufort_AUROR,185,214,us_house_of_representatives_district_3
beaufort_BEADM,57,468,us_house_of_representatives_district_3
beaufort_BELHV,178,271,us_house_of_representatives_district_3
beaufort_BLCK,156,172,us_house_of_representatives_district_3
beaufort_CHOCO,239,619,us_house_of_representatives_district_3
beaufort_EDWAR,183,214,us_house_of_representatives_district_3
beaufort_GILEA,90,237,us_house_of_representatives_district_3
beaufort_HB,44,323,us_house_of_representatives_district_3
beaufort_NCRK,88,437,us_house_of_representatives_district_3
beaufort_OLDF,134,253,us_house_of_representatives_district_3
beaufort_PANTE,146,327,us_house_of_representatives_district_3
beaufort_PINET,43,352,us_house_of_representatives_district_3
beaufort_RVRD,132,378,us_house_of_representatives_district_3
beaufort_SURBA,115,584,us_house_of_representatives_district_3
beaufort_TCRK,130,536,us_house_of_representatives_district_3
beaufort_WASH4,153,276,us_house_of_representatives_district_3
beaufort_WASHP,77,287,us_house_of_representatives_district_3
beaufort_WDPD,67,373,us_house_of_representatives_district_3
camden_CH,208,455,us_house_of_representatives_district_3
camden_SH,133,434,us_house_of_representatives_district_3
camden_SM,286,649,us_house_of_representatives_district_3
carteret_ABCH,99,405,us_house_of_representatives_district_3
carteret_ATCS,106,257,us_house_of_representatives_district_3
carteret_BCRK,113,505,us_house_of_representatives_district_3
carteret_BFT1,170,123,us_house_of_representatives_district_3
carteret_BFT2,216,378,us_house_of_representatives_district_3
carteret_BOGU,104,449,us_house_of_representatives_district_3
carteret_CCCP,93,370,us_house_of_representatives_district_3
carteret_DASW,28,167,us_house_of_representatives_district_3
carteret_EMIS,177,562,us_house_of_representatives_district_3
carteret_HAIS,79,357,us_house_of_representatives_district_3
carteret_IBSP,55,93,us_house_of_representatives_district_3
carteret_MASM,54,213,us_house_of_representatives_district_3
carteret_MCRK,23,226,us_house_of_representatives_district_3
carteret_MERR,60,130,us_house_of_representatives_district_3
carteret_MHD1,228,468,us_house_of_representatives_district_3
carteret_MHD2,247,525,us_house_of_representatives_district_3
carteret_MHD3,233,726,us_house_of_representatives_district_3
carteret_MHD4,103,571,us_house_of_representatives_district_3
carteret_NPT1,212,594,us_house_of_representatives_district_3
carteret_NPT2,128,655,us_house_of_representatives_district_3
carteret_NRIV,121,55,us_house_of_representatives_district_3
carteret_OTBE,89,513,us_house_of_representatives_district_3
carteret_PELE,42,215,us_house_of_representatives_district_3
carteret_PKNL,134,379,us_house_of_representatives_district_3
carteret_STEL,64,335,us_house_of_representatives_district_3
carteret_WIHA,74,362,us_house_of_representatives_district_3
carteret_WILD,187,464,us_house_of_representatives_district_3
chowan_1,0,0,us_house_of_representatives_district_3
chowan_3,117,352,us_house_of_representatives_district_3
chowan_5,98,227,us_house_of_representatives_district_3
chowan_6,131,213,us_house_of_representatives_district_3
craven_03,174,805,us_house_of_representatives_district_3
