prec_id,Michael Walters,"W. Bernard White, Jr.",election
columbus_P01A,315,245,nc_state_senate_district_13
columbus_P02A,223,65,nc_state_senate_district_13
columbus_P03,140,141,nc_state_senate_district_13
columbus_P04,108,62,nc_state_senate_district_13
columbus_P05,110,72,nc_state_senate_district_13
columbus_P06,166,143,nc_state_senate_district_13
columbus_P07,480,246,nc_state_senate_district_13
columbus_P08,87,92,nc_state_senate_district_13
columbus_P09,287,98,nc_state_senate_district_13
columbus_P10,125,163,nc_state_senate_district_13
columbus_P11,140,194,nc_state_senate_district_13
columbus_P12,62,67,nc_state_senate_district_13
columbus_P13,127,140,nc_state_senate_district_13
columbus_P14,376,340,nc_state_senate_district_13
columbus_P15,416,234,nc_state_senate_district_13
columbus_P16A,302,251,nc_state_senate_district_13
columbus_P17,265,91,nc_state_senate_district_13
columbus_P18,128,69,nc_state_senate_district_13
columbus_P19,281,198,nc_state_senate_district_13
columbus_P20,123,73,nc_state_senate_district_13
columbus_P21,141,164,nc_state_senate_district_13
columbus_P22,288,284,nc_state_senate_district_13
columbus_P23,254,187,nc_state_senate_district_13
columbus_P24,321,366,nc_state_senate_district_13
columbus_P25A,253,251,nc_state_senate_district_13
columbus_P26A,568,334,nc_state_senate_district_13
robeson_01,247,89,nc_state_senate_district_13
robeson_02,489,75,nc_state_senate_district_13
robeson_03,407,230,nc_state_senate_district_13
robeson_04,523,132,nc_state_senate_district_13
robeson_05,609,102,nc_state_senate_district_13
robeson_06,208,27,nc_state_senate_district_13
robeson_07,310,56,nc_state_senate_district_13
robeson_08,351,238,nc_state_senate_district_13
robeson_09,289,155,nc_state_senate_district_13
robeson_10,303,148,nc_state_senate_district_13
robeson_11,837,520,nc_state_senate_district_13
robeson_11A,310,120,nc_state_senate_district_13
robeson_12,321,101,nc_state_senate_district_13
robeson_13,344,143,nc_state_senate_district_13
robeson_14,215,102,nc_state_senate_district_13
robeson_15,170,24,nc_state_senate_district_13
robeson_16,233,1,nc_state_senate_district_13
robeson_17,171,28,nc_state_senate_district_13
robeson_18A,373,196,nc_state_senate_district_13
robeson_19,1097,174,nc_state_senate_district_13
robeson_20,389,71,nc_state_senate_district_13
robeson_21,523,383,nc_state_senate_district_13
robeson_22,676,162,nc_state_senate_district_13
robeson_23,702,204,nc_state_senate_district_13
robeson_24,263,75,nc_state_senate_district_13
robeson_25,323,100,nc_state_senate_district_13
robeson_26,467,105,nc_state_senate_district_13
robeson_27,199,111,nc_state_senate_district_13
robeson_28,295,106,nc_state_senate_district_13
robeson_29,584,86,nc_state_senate_district_13
robeson_30,553,151,nc_state_senate_district_13
robeson_31,650,403,nc_state_senate_district_13
robeson_32,439,304,nc_state_senate_district_13
robeson_33,150,49,nc_state_senate_district_13
robeson_34,339,118,nc_state_senate_district_13
robeson_35,578,157,nc_state_senate_district_13
robeson_36,262,82,nc_state_senate_district_13
robeson_37,191,87,nc_state_senate_district_13
robeson_38,119,49,nc_state_senate_district_13
robeson_39,428,82,nc_state_senate_district_13
robeson_40,186,60,nc_state_senate_district_13
robeson_41,749,336,nc_state_senate_district_13
robeson_CURBSIDE,0,0,nc_state_senate_district_13
robeson_ACCUMULATED,0,0,nc_state_senate_district_13
