prec_id,Roy J. Carter,Dan Soucek,election
alleghany_01,278,494,nc_state_senate_district_45
alleghany_02,63,117,nc_state_senate_district_45
alleghany_03,907,855,nc_state_senate_district_45
alleghany_04,309,549,nc_state_senate_district_45
alleghany_05,177,202,nc_state_senate_district_45
alleghany_06,163,236,nc_state_senate_district_45
alleghany_07,147,260,nc_state_senate_district_45
alleghany_CURBSIDE,0,0,nc_state_senate_district_45
ashe_02,195,266,nc_state_senate_district_45
ashe_03,60,162,nc_state_senate_district_45
ashe_04,60,116,nc_state_senate_district_45
ashe_06,89,129,nc_state_senate_district_45
ashe_07,72,79,nc_state_senate_district_45
ashe_08,43,43,nc_state_senate_district_45
ashe_09,413,445,nc_state_senate_district_45
ashe_10,33,67,nc_state_senate_district_45
ashe_11,313,362,nc_state_senate_district_45
ashe_12,85,239,nc_state_senate_district_45
ashe_13,152,244,nc_state_senate_district_45
ashe_14,212,335,nc_state_senate_district_45
ashe_15,98,240,nc_state_senate_district_45
ashe_16,228,373,nc_state_senate_district_45
ashe_17,137,234,nc_state_senate_district_45
ashe_18,29,50,nc_state_senate_district_45
ashe_20,394,471,nc_state_senate_district_45
avery_01,80,308,nc_state_senate_district_45
avery_02,303,616,nc_state_senate_district_45
avery_03,44,185,nc_state_senate_district_45
avery_04,6,22,nc_state_senate_district_45
avery_05,15,110,nc_state_senate_district_45
avery_06,72,218,nc_state_senate_district_45
avery_07,19,106,nc_state_senate_district_45
avery_08,23,153,nc_state_senate_district_45
avery_09,17,158,nc_state_senate_district_45
avery_10,89,291,nc_state_senate_district_45
avery_11,62,150,nc_state_senate_district_45
avery_12,18,129,nc_state_senate_district_45
avery_13,73,148,nc_state_senate_district_45
avery_14,56,261,nc_state_senate_district_45
avery_15,45,213,nc_state_senate_district_45
avery_16,143,338,nc_state_senate_district_45
avery_17,51,205,nc_state_senate_district_45
avery_18,34,142,nc_state_senate_district_45
avery_19,13,148,nc_state_senate_district_45
caldwell_PR01,249,365,nc_state_senate_district_45
caldwell_PR02,135,238,nc_state_senate_district_45
caldwell_PR05,201,397,nc_state_senate_district_45
caldwell_PR06,182,312,nc_state_senate_district_45
caldwell_PR07,125,386,nc_state_senate_district_45
caldwell_PR08,140,249,nc_state_senate_district_45
caldwell_PR13,221,572,nc_state_senate_district_45
caldwell_PR14,189,281,nc_state_senate_district_45
caldwell_PR15,177,435,nc_state_senate_district_45
caldwell_PR16,195,121,nc_state_senate_district_45
caldwell_PR17,141,253,nc_state_senate_district_45
caldwell_PR18,225,447,nc_state_senate_district_45
caldwell_PR21,212,513,nc_state_senate_district_45
caldwell_PR22,198,478,nc_state_senate_district_45
caldwell_PR24,107,250,nc_state_senate_district_45
caldwell_PR25,126,273,nc_state_senate_district_45
caldwell_PR28,156,452,nc_state_senate_district_45
caldwell_PR29,201,244,nc_state_senate_district_45
caldwell_PR30,247,159,nc_state_senate_district_45
caldwell_PR31,120,134,nc_state_senate_district_45
caldwell_PR32,223,502,nc_state_senate_district_45
caldwell_ACCUMULATED,0,0,nc_state_senate_district_45
watauga_01,87,98,nc_state_senate_district_45
watauga_02,122,291,nc_state_senate_district_45
watauga_03,359,444,nc_state_senate_district_45
watauga_04,307,520,nc_state_senate_district_45
watauga_05,166,82,nc_state_senate_district_45
watauga_06,234,214,nc_state_senate_district_45
watauga_07,286,425,nc_state_senate_district_45
watauga_08,250,512,nc_state_senate_district_45
watauga_09,71,125,nc_state_senate_district_45
watauga_10,121,237,nc_state_senate_district_45
watauga_11,254,477,nc_state_senate_district_45
watauga_12,134,100,nc_state_senate_district_45
watauga_13,223,179,nc_state_senate_district_45
watauga_14,278,332,nc_state_senate_district_45
watauga_15,335,396,nc_state_senate_district_45
watauga_16,14,45,nc_state_senate_district_45
watauga_17,88,172,nc_state_senate_district_45
watauga_18,180,513,nc_state_senate_district_45
watauga_19,255,404,nc_state_senate_district_45
watauga_20,57,99,nc_state_senate_district_45
