prec_id,Roger West,election
cherokee_ANNW,731,nc_house_of_representatives_district_120
cherokee_ANSW,861,nc_house_of_representatives_district_120
cherokee_BELL,508,nc_house_of_representatives_district_120
cherokee_BRAS,416,nc_house_of_representatives_district_120
cherokee_CSON,377,nc_house_of_representatives_district_120
cherokee_GCRK,235,nc_house_of_representatives_district_120
cherokee_HANG,443,nc_house_of_representatives_district_120
cherokee_HIWA,890,nc_house_of_representatives_district_120
cherokee_HOTH,601,nc_house_of_representatives_district_120
cherokee_MARB,720,nc_house_of_representatives_district_120
cherokee_MURN,977,nc_house_of_representatives_district_120
cherokee_MURS,1074,nc_house_of_representatives_district_120
cherokee_PCHT,1085,nc_house_of_representatives_district_120
cherokee_RGER,724,nc_house_of_representatives_district_120
cherokee_TOPT,259,nc_house_of_representatives_district_120
cherokee_UNKA,273,nc_house_of_representatives_district_120
clay_BRAS,420,nc_house_of_representatives_district_120
clay_HAY1,557,nc_house_of_representatives_district_120
clay_HAY2,644,nc_house_of_representatives_district_120
clay_HAYC,192,nc_house_of_representatives_district_120
clay_HIAW,671,nc_house_of_representatives_district_120
clay_SHCR,610,nc_house_of_representatives_district_120
clay_SWEE,342,nc_house_of_representatives_district_120
clay_TUSQ,323,nc_house_of_representatives_district_120
clay_WARN,346,nc_house_of_representatives_district_120
graham_EAST,1157,nc_house_of_representatives_district_120
graham_STEC,580,nc_house_of_representatives_district_120
graham_TAPO,271,nc_house_of_representatives_district_120
graham_WEST,1007,nc_house_of_representatives_district_120
macon_01,235,nc_house_of_representatives_district_120
macon_02,216,nc_house_of_representatives_district_120
macon_03,335,nc_house_of_representatives_district_120
macon_04,245,nc_house_of_representatives_district_120
macon_05,375,nc_house_of_representatives_district_120
macon_06,270,nc_house_of_representatives_district_120
macon_07,309,nc_house_of_representatives_district_120
macon_08,129,nc_house_of_representatives_district_120
macon_09,714,nc_house_of_representatives_district_120
macon_10,145,nc_house_of_representatives_district_120
macon_11,546,nc_house_of_representatives_district_120
macon_12,380,nc_house_of_representatives_district_120
macon_13,248,nc_house_of_representatives_district_120
macon_14,210,nc_house_of_representatives_district_120
macon_15,359,nc_house_of_representatives_district_120
