prec_id,Jason R. Saine,election
lincoln_AS25,586,nc_house_of_representatives_district_97
lincoln_BC13,252,nc_house_of_representatives_district_97
lincoln_BS26,444,nc_house_of_representatives_district_97
lincoln_CF19,339,nc_house_of_representatives_district_97
lincoln_CR06,238,nc_house_of_representatives_district_97
lincoln_DN29,584,nc_house_of_representatives_district_97
lincoln_DV08,689,nc_house_of_representatives_district_97
lincoln_DW28,484,nc_house_of_representatives_district_97
lincoln_HG17,341,nc_house_of_representatives_district_97
lincoln_HV07,660,nc_house_of_representatives_district_97
lincoln_IS20,454,nc_house_of_representatives_district_97
lincoln_IS23,583,nc_house_of_representatives_district_97
lincoln_LI14,307,nc_house_of_representatives_district_97
lincoln_LM16,343,nc_house_of_representatives_district_97
lincoln_LN11,281,nc_house_of_representatives_district_97
lincoln_LS12,228,nc_house_of_representatives_district_97
lincoln_LS15,431,nc_house_of_representatives_district_97
lincoln_LW18,267,nc_house_of_representatives_district_97
lincoln_LW31,577,nc_house_of_representatives_district_97
lincoln_NB03,328,nc_house_of_representatives_district_97
lincoln_NB09,531,nc_house_of_representatives_district_97
lincoln_OB21,607,nc_house_of_representatives_district_97
lincoln_OG10,442,nc_house_of_representatives_district_97
lincoln_PC22,720,nc_house_of_representatives_district_97
lincoln_SL24,494,nc_house_of_representatives_district_97
lincoln_TE27,345,nc_house_of_representatives_district_97
lincoln_TR30,203,nc_house_of_representatives_district_97
lincoln_WP32,806,nc_house_of_representatives_district_97
