prec_id,JR Edwards,Mitch Gillespie,election
avery_01,67,316,nc_house_of_representatives_district_85
avery_02,304,598,nc_house_of_representatives_district_85
avery_03,44,181,nc_house_of_representatives_district_85
avery_04,8,20,nc_house_of_representatives_district_85
avery_05,15,99,nc_house_of_representatives_district_85
avery_06,72,213,nc_house_of_representatives_district_85
avery_07,19,101,nc_house_of_representatives_district_85
avery_08,20,155,nc_house_of_representatives_district_85
avery_09,18,155,nc_house_of_representatives_district_85
avery_10,96,287,nc_house_of_representatives_district_85
avery_11,61,149,nc_house_of_representatives_district_85
avery_12,19,126,nc_house_of_representatives_district_85
avery_13,73,141,nc_house_of_representatives_district_85
avery_14,52,267,nc_house_of_representatives_district_85
avery_15,53,201,nc_house_of_representatives_district_85
avery_16,147,322,nc_house_of_representatives_district_85
avery_17,40,219,nc_house_of_representatives_district_85
avery_18,38,142,nc_house_of_representatives_district_85
avery_19,15,144,nc_house_of_representatives_district_85
mcdowell_CCREEK,515,1046,nc_house_of_representatives_district_85
mcdowell_DYSART,417,803,nc_house_of_representatives_district_85
mcdowell_FORT 1,339,520,nc_house_of_representatives_district_85
mcdowell_FORT 2,275,408,nc_house_of_representatives_district_85
mcdowell_GLENWD,329,713,nc_house_of_representatives_district_85
mcdowell_HIGGIN,287,448,nc_house_of_representatives_district_85
mcdowell_M.COVE,353,680,nc_house_of_representatives_district_85
mcdowell_MAR 1,643,1087,nc_house_of_representatives_district_85
mcdowell_MAR 2,514,450,nc_house_of_representatives_district_85
mcdowell_MAR 3,214,311,nc_house_of_representatives_district_85
mcdowell_MAR 4,231,317,nc_house_of_representatives_district_85
mcdowell_MAR 5,189,328,nc_house_of_representatives_district_85
mcdowell_N.COVE,177,333,nc_house_of_representatives_district_85
mcdowell_NEBO,654,1089,nc_house_of_representatives_district_85
mcdowell_PLEASA,501,973,nc_house_of_representatives_district_85
mcdowell_T.COVE,150,386,nc_house_of_representatives_district_85
mcdowell_WEST M,764,1263,nc_house_of_representatives_district_85
mitchell_01,81,273,nc_house_of_representatives_district_85
mitchell_02,12,112,nc_house_of_representatives_district_85
mitchell_03,26,132,nc_house_of_representatives_district_85
mitchell_04,299,834,nc_house_of_representatives_district_85
mitchell_05,54,262,nc_house_of_representatives_district_85
mitchell_06,30,163,nc_house_of_representatives_district_85
mitchell_07,19,85,nc_house_of_representatives_district_85
mitchell_08,17,89,nc_house_of_representatives_district_85
mitchell_09,123,243,nc_house_of_representatives_district_85
