prec_id,Mary Price (Pricey) Harrison,election
guilford_CG3B,239,nc_house_of_representatives_district_57
guilford_G01,866,nc_house_of_representatives_district_57
guilford_G02,572,nc_house_of_representatives_district_57
guilford_G03,1436,nc_house_of_representatives_district_57
guilford_G04,1341,nc_house_of_representatives_district_57
guilford_G05,1171,nc_house_of_representatives_district_57
guilford_G06,1181,nc_house_of_representatives_district_57
guilford_G07,1116,nc_house_of_representatives_district_57
guilford_G08,1395,nc_house_of_representatives_district_57
guilford_G09,1699,nc_house_of_representatives_district_57
guilford_G10,1760,nc_house_of_representatives_district_57
guilford_G11,851,nc_house_of_representatives_district_57
guilford_G12,193,nc_house_of_representatives_district_57
guilford_G13,813,nc_house_of_representatives_district_57
guilford_G14,129,nc_house_of_representatives_district_57
guilford_G15,161,nc_house_of_representatives_district_57
guilford_G19,676,nc_house_of_representatives_district_57
guilford_G20,907,nc_house_of_representatives_district_57
guilford_G21,1593,nc_house_of_representatives_district_57
guilford_G22,754,nc_house_of_representatives_district_57
guilford_G23,346,nc_house_of_representatives_district_57
guilford_G24,653,nc_house_of_representatives_district_57
guilford_G26,1644,nc_house_of_representatives_district_57
guilford_G44,193,nc_house_of_representatives_district_57
guilford_G67,1249,nc_house_of_representatives_district_57
guilford_G68,1862,nc_house_of_representatives_district_57
guilford_G71,19,nc_house_of_representatives_district_57
guilford_G72,1692,nc_house_of_representatives_district_57
guilford_JEF1,65,nc_house_of_representatives_district_57
guilford_JEF2,944,nc_house_of_representatives_district_57
guilford_JEF4,446,nc_house_of_representatives_district_57
guilford_MON1,1021,nc_house_of_representatives_district_57
guilford_MON2A,1631,nc_house_of_representatives_district_57
guilford_MON2B,904,nc_house_of_representatives_district_57
guilford_RC1,365,nc_house_of_representatives_district_57
guilford_CURBSIDE,67,nc_house_of_representatives_district_57
