prec_id,Rayne Brown,election
davidson_04,2696,nc_house_of_representatives_district_81
davidson_06,1278,nc_house_of_representatives_district_81
davidson_08,541,nc_house_of_representatives_district_81
davidson_10,1156,nc_house_of_representatives_district_81
davidson_22,440,nc_house_of_representatives_district_81
davidson_24,609,nc_house_of_representatives_district_81
davidson_26,430,nc_house_of_representatives_district_81
davidson_28,1209,nc_house_of_representatives_district_81
davidson_30,343,nc_house_of_representatives_district_81
davidson_32,389,nc_house_of_representatives_district_81
davidson_34,580,nc_house_of_representatives_district_81
davidson_36,373,nc_house_of_representatives_district_81
davidson_38,192,nc_house_of_representatives_district_81
davidson_40,758,nc_house_of_representatives_district_81
davidson_48,1276,nc_house_of_representatives_district_81
davidson_50,1639,nc_house_of_representatives_district_81
davidson_52,2112,nc_house_of_representatives_district_81
davidson_58,1340,nc_house_of_representatives_district_81
davidson_70,1262,nc_house_of_representatives_district_81
davidson_78,1606,nc_house_of_representatives_district_81
davidson_82,1334,nc_house_of_representatives_district_81
davidson_84,2267,nc_house_of_representatives_district_81
davidson_CURBSIDE,117,nc_house_of_representatives_district_81
