prec_id,Susan E. Wilson,Nathan Ramsey,election
buncombe_05.1,106,107,nc_house_of_representatives_district_115
buncombe_22.2,74,74,nc_house_of_representatives_district_115
buncombe_25.1,310,306,nc_house_of_representatives_district_115
buncombe_27.2,0,0,nc_house_of_representatives_district_115
buncombe_32.1,201,254,nc_house_of_representatives_district_115
buncombe_33.2,154,187,nc_house_of_representatives_district_115
buncombe_33.3,236,276,nc_house_of_representatives_district_115
buncombe_34.1,150,175,nc_house_of_representatives_district_115
buncombe_35.1,198,188,nc_house_of_representatives_district_115
buncombe_36.1,211,259,nc_house_of_representatives_district_115
buncombe_37.1,141,270,nc_house_of_representatives_district_115
buncombe_38.2,91,290,nc_house_of_representatives_district_115
buncombe_38.3,215,556,nc_house_of_representatives_district_115
buncombe_39.2,140,252,nc_house_of_representatives_district_115
buncombe_39.3,171,299,nc_house_of_representatives_district_115
buncombe_40.2,235,530,nc_house_of_representatives_district_115
buncombe_41.1,201,520,nc_house_of_representatives_district_115
buncombe_50.1,195,389,nc_house_of_representatives_district_115
buncombe_51.2,199,302,nc_house_of_representatives_district_115
buncombe_52.1,162,355,nc_house_of_representatives_district_115
buncombe_57.1,90,170,nc_house_of_representatives_district_115
buncombe_58.1,148,234,nc_house_of_representatives_district_115
buncombe_59.1,276,446,nc_house_of_representatives_district_115
buncombe_60.2,137,141,nc_house_of_representatives_district_115
buncombe_60.4,29,95,nc_house_of_representatives_district_115
buncombe_61.1,313,431,nc_house_of_representatives_district_115
buncombe_62.1,300,361,nc_house_of_representatives_district_115
buncombe_64.1,137,234,nc_house_of_representatives_district_115
buncombe_65.1,421,321,nc_house_of_representatives_district_115
buncombe_67.1,176,240,nc_house_of_representatives_district_115
buncombe_70.1,65,88,nc_house_of_representatives_district_115
buncombe_71.1,327,495,nc_house_of_representatives_district_115
