prec_id,C. Robert Brawley,Barbara Orr (Write-in),Write-in (miscellaneous),election
iredell_BA,2126,63,1,nc_house_of_representatives_district_95
iredell_CC1,2579,207,41,nc_house_of_representatives_district_95
iredell_CC2,2238,241,47,nc_house_of_representatives_district_95
iredell_CC3,3467,206,59,nc_house_of_representatives_district_95
iredell_CC4,2867,133,7,nc_house_of_representatives_district_95
iredell_CH-B,1235,26,2,nc_house_of_representatives_district_95
iredell_DV1-A,3247,84,9,nc_house_of_representatives_district_95
iredell_DV1-B,4721,93,8,nc_house_of_representatives_district_95
iredell_DV2-A,2301,62,3,nc_house_of_representatives_district_95
iredell_DV2-B,2041,64,4,nc_house_of_representatives_district_95
iredell_ST6,1034,131,26,nc_house_of_representatives_district_95
