prec_id,Evelyn Terry,Kris McCann,election
forsyth_042,310,179,nc_house_of_representatives_district_71
forsyth_043,513,164,nc_house_of_representatives_district_71
forsyth_122,1509,983,nc_house_of_representatives_district_71
forsyth_123,16,3,nc_house_of_representatives_district_71
forsyth_401,1213,71,nc_house_of_representatives_district_71
forsyth_403,886,38,nc_house_of_representatives_district_71
forsyth_404,1338,140,nc_house_of_representatives_district_71
forsyth_405,1897,28,nc_house_of_representatives_district_71
forsyth_501,1391,114,nc_house_of_representatives_district_71
forsyth_502,1034,31,nc_house_of_representatives_district_71
forsyth_503,854,135,nc_house_of_representatives_district_71
forsyth_504,813,122,nc_house_of_representatives_district_71
forsyth_505,963,227,nc_house_of_representatives_district_71
forsyth_506,628,420,nc_house_of_representatives_district_71
forsyth_507,1170,427,nc_house_of_representatives_district_71
forsyth_601,754,239,nc_house_of_representatives_district_71
forsyth_602,1267,765,nc_house_of_representatives_district_71
forsyth_603,1046,315,nc_house_of_representatives_district_71
forsyth_604,489,102,nc_house_of_representatives_district_71
forsyth_605,1729,768,nc_house_of_representatives_district_71
forsyth_606,747,413,nc_house_of_representatives_district_71
forsyth_607,267,100,nc_house_of_representatives_district_71
forsyth_701,151,38,nc_house_of_representatives_district_71
forsyth_703,23,15,nc_house_of_representatives_district_71
forsyth_705,354,151,nc_house_of_representatives_district_71
forsyth_707,383,187,nc_house_of_representatives_district_71
forsyth_708,346,112,nc_house_of_representatives_district_71
forsyth_808,631,144,nc_house_of_representatives_district_71
forsyth_902,823,233,nc_house_of_representatives_district_71
