prec_id,Deb Butler,Thom Goolsby,election
new hanover_CF01,1265,1213,nc_state_senate_district_9
new hanover_CF02,688,1142,nc_state_senate_district_9
new hanover_CF05,804,1244,nc_state_senate_district_9
new hanover_CF06,832,1089,nc_state_senate_district_9
new hanover_FP02,793,983,nc_state_senate_district_9
new hanover_FP03,483,720,nc_state_senate_district_9
new hanover_FP04,1048,1673,nc_state_senate_district_9
new hanover_FP05,557,882,nc_state_senate_district_9
new hanover_FP06,940,1490,nc_state_senate_district_9
new hanover_FP07,1130,1813,nc_state_senate_district_9
new hanover_H01,565,660,nc_state_senate_district_9
new hanover_H02,666,1816,nc_state_senate_district_9
new hanover_H03,1232,2170,nc_state_senate_district_9
new hanover_H04,976,1459,nc_state_senate_district_9
new hanover_H05,902,1597,nc_state_senate_district_9
new hanover_H06,866,1157,nc_state_senate_district_9
new hanover_H08,1417,2490,nc_state_senate_district_9
new hanover_H09,1663,3353,nc_state_senate_district_9
new hanover_H10,1289,1194,nc_state_senate_district_9
new hanover_H11,1372,2264,nc_state_senate_district_9
new hanover_M02,1632,2713,nc_state_senate_district_9
new hanover_M03,924,1418,nc_state_senate_district_9
new hanover_M04,1774,2646,nc_state_senate_district_9
new hanover_M06,779,1369,nc_state_senate_district_9
new hanover_M07,487,840,nc_state_senate_district_9
new hanover_W03,400,113,nc_state_senate_district_9
new hanover_W08,934,406,nc_state_senate_district_9
new hanover_W12,740,572,nc_state_senate_district_9
new hanover_W13,814,301,nc_state_senate_district_9
new hanover_W15,2278,655,nc_state_senate_district_9
new hanover_W16,981,1235,nc_state_senate_district_9
new hanover_W17,811,979,nc_state_senate_district_9
new hanover_W18,498,581,nc_state_senate_district_9
new hanover_W21,1197,1346,nc_state_senate_district_9
new hanover_W24,1441,1113,nc_state_senate_district_9
new hanover_W25,2017,416,nc_state_senate_district_9
new hanover_W26,988,632,nc_state_senate_district_9
new hanover_W27,1663,483,nc_state_senate_district_9
new hanover_W28,1174,775,nc_state_senate_district_9
new hanover_W29,649,70,nc_state_senate_district_9
new hanover_W30,1490,1252,nc_state_senate_district_9
new hanover_W31,1085,1590,nc_state_senate_district_9
new hanover_WB,573,1041,nc_state_senate_district_9
