prec_id,Gerald C. Parker,Allen Ray McNeill,election
moore_CAR,287,500,nc_house_of_representatives_district_78
moore_DHR,125,418,nc_house_of_representatives_district_78
moore_RBN,7,52,nc_house_of_representatives_district_78
moore_WEM,55,389,nc_house_of_representatives_district_78
randolph_04,151,400,nc_house_of_representatives_district_78
randolph_11,113,293,nc_house_of_representatives_district_78
randolph_14,81,353,nc_house_of_representatives_district_78
randolph_15,173,532,nc_house_of_representatives_district_78
randolph_16,164,646,nc_house_of_representatives_district_78
randolph_17,137,539,nc_house_of_representatives_district_78
randolph_18,131,590,nc_house_of_representatives_district_78
randolph_19,184,568,nc_house_of_representatives_district_78
randolph_20,211,595,nc_house_of_representatives_district_78
randolph_21,232,832,nc_house_of_representatives_district_78
randolph_23,558,776,nc_house_of_representatives_district_78
randolph_24,97,307,nc_house_of_representatives_district_78
randolph_27,39,204,nc_house_of_representatives_district_78
randolph_29,218,936,nc_house_of_representatives_district_78
randolph_30,168,799,nc_house_of_representatives_district_78
randolph_31,321,670,nc_house_of_representatives_district_78
randolph_34,177,624,nc_house_of_representatives_district_78
randolph_35,225,743,nc_house_of_representatives_district_78
randolph_36,127,679,nc_house_of_representatives_district_78
randolph_40,137,452,nc_house_of_representatives_district_78
