prec_id,John A. Torbett,election
gaston_07,20,nc_house_of_representatives_district_108
gaston_08,168,nc_house_of_representatives_district_108
gaston_09,213,nc_house_of_representatives_district_108
gaston_10,339,nc_house_of_representatives_district_108
gaston_12,405,nc_house_of_representatives_district_108
gaston_13,512,nc_house_of_representatives_district_108
gaston_14,216,nc_house_of_representatives_district_108
gaston_18,694,nc_house_of_representatives_district_108
gaston_24,456,nc_house_of_representatives_district_108
gaston_25,413,nc_house_of_representatives_district_108
gaston_26,446,nc_house_of_representatives_district_108
gaston_30,448,nc_house_of_representatives_district_108
gaston_32,558,nc_house_of_representatives_district_108
gaston_42,539,nc_house_of_representatives_district_108
gaston_43,635,nc_house_of_representatives_district_108
gaston_44,713,nc_house_of_representatives_district_108
gaston_45,383,nc_house_of_representatives_district_108
gaston_46,610,nc_house_of_representatives_district_108
gaston_ACCUMULATED,0,nc_house_of_representatives_district_108
