prec_id,David W. Moore,Debra Conrad,election
forsyth_021,601,1847,nc_house_of_representatives_district_74
forsyth_031,382,663,nc_house_of_representatives_district_74
forsyth_032,609,1152,nc_house_of_representatives_district_74
forsyth_033,52,101,nc_house_of_representatives_district_74
forsyth_034,517,928,nc_house_of_representatives_district_74
forsyth_061,586,853,nc_house_of_representatives_district_74
forsyth_062,482,954,nc_house_of_representatives_district_74
forsyth_064,314,499,nc_house_of_representatives_district_74
forsyth_066,463,1065,nc_house_of_representatives_district_74
forsyth_067,518,731,nc_house_of_representatives_district_74
forsyth_068,556,1231,nc_house_of_representatives_district_74
forsyth_081,427,500,nc_house_of_representatives_district_74
forsyth_082,696,1058,nc_house_of_representatives_district_74
forsyth_083,394,418,nc_house_of_representatives_district_74
forsyth_091,456,1006,nc_house_of_representatives_district_74
forsyth_092,327,928,nc_house_of_representatives_district_74
forsyth_101,496,615,nc_house_of_representatives_district_74
forsyth_111,330,893,nc_house_of_representatives_district_74
forsyth_112,767,1251,nc_house_of_representatives_district_74
forsyth_131,820,1465,nc_house_of_representatives_district_74
forsyth_132,873,1677,nc_house_of_representatives_district_74
forsyth_133,519,1136,nc_house_of_representatives_district_74
forsyth_306,66,32,nc_house_of_representatives_district_74
forsyth_701,262,556,nc_house_of_representatives_district_74
forsyth_707,157,250,nc_house_of_representatives_district_74
forsyth_804,365,622,nc_house_of_representatives_district_74
forsyth_805,659,1161,nc_house_of_representatives_district_74
forsyth_806,232,558,nc_house_of_representatives_district_74
forsyth_809,770,1302,nc_house_of_representatives_district_74
forsyth_906,1046,1164,nc_house_of_representatives_district_74
