prec_id,Carl Ford,election
cabarrus_04-03,1091,nc_house_of_representatives_district_76
cabarrus_05-00,1428,nc_house_of_representatives_district_76
cabarrus_06-00,1113,nc_house_of_representatives_district_76
cabarrus_07-00,557,nc_house_of_representatives_district_76
cabarrus_08-00,1906,nc_house_of_representatives_district_76
cabarrus_09-00,1277,nc_house_of_representatives_district_76
cabarrus_ACCUMULATED,0,nc_house_of_representatives_district_76
rowan_01,1018,nc_house_of_representatives_district_76
rowan_02,510,nc_house_of_representatives_district_76
rowan_05A,2068,nc_house_of_representatives_district_76
rowan_13,1073,nc_house_of_representatives_district_76
rowan_15,1650,nc_house_of_representatives_district_76
rowan_16,781,nc_house_of_representatives_district_76
rowan_17,970,nc_house_of_representatives_district_76
rowan_18,107,nc_house_of_representatives_district_76
rowan_19A,2127,nc_house_of_representatives_district_76
rowan_22,460,nc_house_of_representatives_district_76
rowan_23,849,nc_house_of_representatives_district_76
rowan_25,1918,nc_house_of_representatives_district_76
rowan_26,1005,nc_house_of_representatives_district_76
rowan_31,783,nc_house_of_representatives_district_76
rowan_33,1037,nc_house_of_representatives_district_76
rowan_35,284,nc_house_of_representatives_district_76
rowan_36,716,nc_house_of_representatives_district_76
rowan_38,753,nc_house_of_representatives_district_76
