prec_id,Jerome Fleming,Linda P. Johnson,election
cabarrus_01-02,389,1115,nc_house_of_representatives_district_83
cabarrus_02-01,691,1173,nc_house_of_representatives_district_83
cabarrus_02-05,802,1821,nc_house_of_representatives_district_83
cabarrus_02-06,1040,1023,nc_house_of_representatives_district_83
cabarrus_04-01,885,969,nc_house_of_representatives_district_83
cabarrus_04-02,858,699,nc_house_of_representatives_district_83
cabarrus_04-04,480,481,nc_house_of_representatives_district_83
cabarrus_04-05,431,543,nc_house_of_representatives_district_83
cabarrus_04-06,601,570,nc_house_of_representatives_district_83
cabarrus_04-07,286,831,nc_house_of_representatives_district_83
cabarrus_04-08,331,673,nc_house_of_representatives_district_83
cabarrus_04-09,549,1245,nc_house_of_representatives_district_83
cabarrus_04-10,762,1528,nc_house_of_representatives_district_83
cabarrus_10-00,673,2292,nc_house_of_representatives_district_83
cabarrus_11-01,1161,1560,nc_house_of_representatives_district_83
cabarrus_11-02,414,1369,nc_house_of_representatives_district_83
cabarrus_12-03,455,889,nc_house_of_representatives_district_83
cabarrus_12-04,725,841,nc_house_of_representatives_district_83
cabarrus_12-05,416,987,nc_house_of_representatives_district_83
cabarrus_12-11,391,586,nc_house_of_representatives_district_83
cabarrus_ACCUMULATED,0,0,nc_house_of_representatives_district_83
