prec_id,"Edward (Ed) Hanes, Jr.",Charlie Mellies,election
forsyth_031,207,152,nc_house_of_representatives_district_72
forsyth_033,944,545,nc_house_of_representatives_district_72
forsyth_081,904,334,nc_house_of_representatives_district_72
forsyth_082,990,228,nc_house_of_representatives_district_72
forsyth_083,720,62,nc_house_of_representatives_district_72
forsyth_101,331,202,nc_house_of_representatives_district_72
forsyth_201,2393,401,nc_house_of_representatives_district_72
forsyth_203,1173,23,nc_house_of_representatives_district_72
forsyth_204,1017,74,nc_house_of_representatives_district_72
forsyth_205,594,7,nc_house_of_representatives_district_72
forsyth_206,1135,101,nc_house_of_representatives_district_72
forsyth_207,1215,254,nc_house_of_representatives_district_72
forsyth_301,726,10,nc_house_of_representatives_district_72
forsyth_302,786,29,nc_house_of_representatives_district_72
forsyth_303,594,8,nc_house_of_representatives_district_72
forsyth_304,1619,33,nc_house_of_representatives_district_72
forsyth_305,1082,19,nc_house_of_representatives_district_72
forsyth_306,913,92,nc_house_of_representatives_district_72
forsyth_402,1119,9,nc_house_of_representatives_district_72
forsyth_403,308,2,nc_house_of_representatives_district_72
forsyth_801,511,472,nc_house_of_representatives_district_72
forsyth_802,488,717,nc_house_of_representatives_district_72
forsyth_803,455,894,nc_house_of_representatives_district_72
forsyth_901,764,534,nc_house_of_representatives_district_72
forsyth_903,1265,861,nc_house_of_representatives_district_72
forsyth_904,1246,343,nc_house_of_representatives_district_72
forsyth_905,899,480,nc_house_of_representatives_district_72
forsyth_907,789,575,nc_house_of_representatives_district_72
forsyth_908,860,1234,nc_house_of_representatives_district_72
forsyth_909,514,463,nc_house_of_representatives_district_72
forsyth_ACCUMULATED,0,0,nc_house_of_representatives_district_72
