prec_id,Carla Cunningham,election
mecklenburg_26,2231,nc_house_of_representatives_district_106
mecklenburg_27,686,nc_house_of_representatives_district_106
mecklenburg_28,1214,nc_house_of_representatives_district_106
mecklenburg_42,1823,nc_house_of_representatives_district_106
mecklenburg_56,131,nc_house_of_representatives_district_106
mecklenburg_82,1997,nc_house_of_representatives_district_106
mecklenburg_105,1979,nc_house_of_representatives_district_106
mecklenburg_107.1,1976,nc_house_of_representatives_district_106
mecklenburg_126,1775,nc_house_of_representatives_district_106
mecklenburg_132,891,nc_house_of_representatives_district_106
mecklenburg_135,3772,nc_house_of_representatives_district_106
mecklenburg_141,1847,nc_house_of_representatives_district_106
mecklenburg_146,2483,nc_house_of_representatives_district_106
mecklenburg_213,2595,nc_house_of_representatives_district_106
mecklenburg_CURBSIDE,461,nc_house_of_representatives_district_106
