prec_id,David Price,Tim D'Annunzio,election
alamance_063,1002,499,us_house_of_representatives_district_4
alamance_06N,944,393,us_house_of_representatives_district_4
alamance_11,1318,776,us_house_of_representatives_district_4
alamance_127,1979,531,us_house_of_representatives_district_4
alamance_128,806,299,us_house_of_representatives_district_4
alamance_12E,604,291,us_house_of_representatives_district_4
alamance_12N,1982,240,us_house_of_representatives_district_4
alamance_12S,521,194,us_house_of_representatives_district_4
alamance_13,1175,762,us_house_of_representatives_district_4
alamance_CURBSIDE,0,0,us_house_of_representatives_district_4
chatham_15,270,158,us_house_of_representatives_district_4
chatham_20,287,379,us_house_of_representatives_district_4
chatham_73,337,108,us_house_of_representatives_district_4
chatham_78,312,234,us_house_of_representatives_district_4
chatham_MCH110,420,244,us_house_of_representatives_district_4
chatham_NWM117,252,221,us_house_of_representatives_district_4
chatham_PIT113,527,390,us_house_of_representatives_district_4
cumberland_AH49,1401,541,us_house_of_representatives_district_4
cumberland_G5A-1,1202,448,us_house_of_representatives_district_4
cumberland_G5A-2,821,567,us_house_of_representatives_district_4
cumberland_G5C,1029,459,us_house_of_representatives_district_4
cumberland_CL57-1,1381,466,us_house_of_representatives_district_4
cumberland_CL57-2,1346,374,us_house_of_representatives_district_4
cumberland_CC01,1169,121,us_house_of_representatives_district_4
cumberland_CC03,478,132,us_house_of_representatives_district_4
cumberland_CC04,1,1,us_house_of_representatives_district_4
cumberland_CC05,1194,110,us_house_of_representatives_district_4
cumberland_CC08,7,3,us_house_of_representatives_district_4
cumberland_G2A,1749,849,us_house_of_representatives_district_4
cumberland_CC13,1592,61,us_house_of_representatives_district_4
cumberland_CC16,1410,27,us_house_of_representatives_district_4
cumberland_CC17,1493,157,us_house_of_representatives_district_4
cumberland_CC19,604,8,us_house_of_representatives_district_4
cumberland_CC21,1589,511,us_house_of_representatives_district_4
cumberland_G2B,1693,901,us_house_of_representatives_district_4
cumberland_G2C-1,894,587,us_house_of_representatives_district_4
cumberland_G2C-2,827,771,us_house_of_representatives_district_4
cumberland_CC25,625,442,us_house_of_representatives_district_4
cumberland_CC26,1504,467,us_house_of_representatives_district_4
cumberland_CC27,1673,421,us_house_of_representatives_district_4
cumberland_G5B-1,1641,182,us_house_of_representatives_district_4
cumberland_G5B-2,1195,300,us_house_of_representatives_district_4
cumberland_CC29,964,374,us_house_of_representatives_district_4
cumberland_CC32,678,131,us_house_of_representatives_district_4
cumberland_CC33,937,547,us_house_of_representatives_district_4
cumberland_LR63,1782,546,us_house_of_representatives_district_4
cumberland_LI65,787,1179,us_house_of_representatives_district_4
cumberland_G2D,1242,1092,us_house_of_representatives_district_4
cumberland_MB62,1174,296,us_house_of_representatives_district_4
cumberland_MR02,1101,513,us_house_of_representatives_district_4
cumberland_G2E-1,1077,206,us_house_of_representatives_district_4
cumberland_G2E-2,1560,240,us_house_of_representatives_district_4
durham_04,397,84,us_house_of_representatives_district_4
durham_16,401,149,us_house_of_representatives_district_4
durham_27,371,205,us_house_of_representatives_district_4
durham_33,742,288,us_house_of_representatives_district_4
durham_35.3,915,450,us_house_of_representatives_district_4
durham_36,456,130,us_house_of_representatives_district_4
durham_38,667,230,us_house_of_representatives_district_4
durham_39,529,341,us_house_of_representatives_district_4
durham_43,925,475,us_house_of_representatives_district_4
durham_48,372,143,us_house_of_representatives_district_4
durham_50,645,371,us_house_of_representatives_district_4
durham_51,713,284,us_house_of_representatives_district_4
durham_53-1,417,232,us_house_of_representatives_district_4
durham_53-2,549,334,us_house_of_representatives_district_4
harnett_PR20,584,297,us_house_of_representatives_district_4
harnett_PR23,654,592,us_house_of_representatives_district_4
harnett_PR30,306,155,us_house_of_representatives_district_4
orange_BC,365,144,us_house_of_representatives_district_4
orange_BP,159,47,us_house_of_representatives_district_4
orange_CA,150,198,us_house_of_representatives_district_4
orange_CB,254,57,us_house_of_representatives_district_4
orange_CC,150,76,us_house_of_representatives_district_4
orange_CF,382,179,us_house_of_representatives_district_4
orange_CH,221,51,us_house_of_representatives_district_4
orange_CO,344,96,us_house_of_representatives_district_4
orange_CS1,202,127,us_house_of_representatives_district_4
orange_CX,517,512,us_house_of_representatives_district_4
orange_DA,582,190,us_house_of_representatives_district_4
orange_DM,385,141,us_house_of_representatives_district_4
orange_EA,216,102,us_house_of_representatives_district_4
orange_EH,255,108,us_house_of_representatives_district_4
orange_ES,330,88,us_house_of_representatives_district_4
orange_GB,468,294,us_house_of_representatives_district_4
orange_GL,361,216,us_house_of_representatives_district_4
orange_GR,256,83,us_house_of_representatives_district_4
orange_H,128,43,us_house_of_representatives_district_4
orange_HF,495,228,us_house_of_representatives_district_4
orange_KM,292,151,us_house_of_representatives_district_4
orange_LC,437,67,us_house_of_representatives_district_4
orange_LI,272,157,us_house_of_representatives_district_4
orange_MF,237,94,us_house_of_representatives_district_4
orange_NC,251,90,us_house_of_representatives_district_4
orange_NS,278,97,us_house_of_representatives_district_4
orange_OG,537,414,us_house_of_representatives_district_4
orange_OW,391,56,us_house_of_representatives_district_4
orange_PA,475,245,us_house_of_representatives_district_4
orange_RF,453,145,us_house_of_representatives_district_4
orange_SJ,407,143,us_house_of_representatives_district_4
orange_TH,280,18,us_house_of_representatives_district_4
orange_WC,349,279,us_house_of_representatives_district_4
orange_WD,355,116,us_house_of_representatives_district_4
orange_WDS,264,34,us_house_of_representatives_district_4
orange_WH,339,145,us_house_of_representatives_district_4
orange_WW,188,50,us_house_of_representatives_district_4
wake_43831,428,224,us_house_of_representatives_district_4
wake_43832,443,284,us_house_of_representatives_district_4
