prec_id,Mitchell Smith Setzer,election
catawba_01,1858,nc_house_of_representatives_district_89
catawba_02,1160,nc_house_of_representatives_district_89
catawba_03,1108,nc_house_of_representatives_district_89
catawba_04,292,nc_house_of_representatives_district_89
catawba_05,1379,nc_house_of_representatives_district_89
catawba_06,1198,nc_house_of_representatives_district_89
catawba_09,1267,nc_house_of_representatives_district_89
catawba_10,159,nc_house_of_representatives_district_89
catawba_12,309,nc_house_of_representatives_district_89
catawba_20,1541,nc_house_of_representatives_district_89
catawba_21,853,nc_house_of_representatives_district_89
catawba_22,1555,nc_house_of_representatives_district_89
catawba_25,777,nc_house_of_representatives_district_89
catawba_27,1845,nc_house_of_representatives_district_89
catawba_31,2115,nc_house_of_representatives_district_89
catawba_32,1249,nc_house_of_representatives_district_89
catawba_34,2493,nc_house_of_representatives_district_89
catawba_35,955,nc_house_of_representatives_district_89
catawba_40,669,nc_house_of_representatives_district_89
catawba_41,1624,nc_house_of_representatives_district_89
catawba_CURBSIDE,221,nc_house_of_representatives_district_89
