prec_id,Don Davis,election
greene_ARBA,177,nc_state_senate_district_5
greene_BEAR,137,nc_state_senate_district_5
greene_BULL,178,nc_state_senate_district_5
greene_CAST,162,nc_state_senate_district_5
greene_HOOK,122,nc_state_senate_district_5
greene_MAUR,287,nc_state_senate_district_5
greene_SH#1,181,nc_state_senate_district_5
greene_SHIN,226,nc_state_senate_district_5
greene_SUGG,134,nc_state_senate_district_5
greene_WALS,252,nc_state_senate_district_5
lenoir_C,237,nc_state_senate_district_5
lenoir_I,314,nc_state_senate_district_5
lenoir_K1,623,nc_state_senate_district_5
lenoir_K2,703,nc_state_senate_district_5
lenoir_K3,584,nc_state_senate_district_5
lenoir_K4,380,nc_state_senate_district_5
lenoir_K5,754,nc_state_senate_district_5
lenoir_K6,1337,nc_state_senate_district_5
lenoir_K7,1267,nc_state_senate_district_5
lenoir_K8,818,nc_state_senate_district_5
lenoir_K9,1076,nc_state_senate_district_5
lenoir_MH,1545,nc_state_senate_district_5
lenoir_N,271,nc_state_senate_district_5
lenoir_V,937,nc_state_senate_district_5
lenoir_CURBSIDE,0,nc_state_senate_district_5
pitt_0101,445,nc_state_senate_district_5
pitt_0200A,310,nc_state_senate_district_5
pitt_0200B,413,nc_state_senate_district_5
pitt_0301,590,nc_state_senate_district_5
pitt_0401,538,nc_state_senate_district_5
pitt_0501,206,nc_state_senate_district_5
pitt_0701,279,nc_state_senate_district_5
pitt_0800A,627,nc_state_senate_district_5
pitt_0800B,510,nc_state_senate_district_5
pitt_0901,254,nc_state_senate_district_5
pitt_1001,252,nc_state_senate_district_5
pitt_1101,91,nc_state_senate_district_5
pitt_1102A,21,nc_state_senate_district_5
pitt_1201,355,nc_state_senate_district_5
pitt_1403A1,74,nc_state_senate_district_5
pitt_1403A2,82,nc_state_senate_district_5
pitt_1403B,157,nc_state_senate_district_5
pitt_1501,186,nc_state_senate_district_5
pitt_1503,467,nc_state_senate_district_5
pitt_1504A,422,nc_state_senate_district_5
pitt_1504B,445,nc_state_senate_district_5
pitt_1505A,359,nc_state_senate_district_5
pitt_1505B,496,nc_state_senate_district_5
pitt_1506,148,nc_state_senate_district_5
pitt_1507,170,nc_state_senate_district_5
pitt_1508A,23,nc_state_senate_district_5
pitt_1509,264,nc_state_senate_district_5
pitt_1512A,462,nc_state_senate_district_5
pitt_1512B,178,nc_state_senate_district_5
wayne_6,117,nc_state_senate_district_5
wayne_7,172,nc_state_senate_district_5
wayne_9,1,nc_state_senate_district_5
wayne_10,236,nc_state_senate_district_5
wayne_11,225,nc_state_senate_district_5
wayne_12,308,nc_state_senate_district_5
wayne_13,217,nc_state_senate_district_5
wayne_14,1,nc_state_senate_district_5
wayne_15,1,nc_state_senate_district_5
wayne_16,87,nc_state_senate_district_5
wayne_17,214,nc_state_senate_district_5
wayne_18,264,nc_state_senate_district_5
wayne_19,250,nc_state_senate_district_5
wayne_20,323,nc_state_senate_district_5
wayne_21,158,nc_state_senate_district_5
wayne_22,47,nc_state_senate_district_5
wayne_23,0,nc_state_senate_district_5
wayne_25,41,nc_state_senate_district_5
wayne_26,226,nc_state_senate_district_5
wayne_27,202,nc_state_senate_district_5
wayne_28,75,nc_state_senate_district_5
wayne_29,207,nc_state_senate_district_5
wayne_30,314,nc_state_senate_district_5
