prec_id,"James L. (Jamie) Boles, Jr.",election
moore_BEN,394,nc_house_of_representatives_district_52
moore_CAM,438,nc_house_of_representatives_district_52
moore_EAB,494,nc_house_of_representatives_district_52
moore_EKWD,205,nc_house_of_representatives_district_52
moore_EUR,745,nc_house_of_representatives_district_52
moore_EWD,327,nc_house_of_representatives_district_52
moore_LTR,589,nc_house_of_representatives_district_52
moore_NSP,485,nc_house_of_representatives_district_52
moore_PBF,544,nc_house_of_representatives_district_52
moore_PDN,783,nc_house_of_representatives_district_52
moore_PHA1,779,nc_house_of_representatives_district_52
moore_PHA2,395,nc_house_of_representatives_district_52
moore_PHB1,593,nc_house_of_representatives_district_52
moore_PHB2,543,nc_house_of_representatives_district_52
moore_PHC,1072,nc_house_of_representatives_district_52
moore_RBN,271,nc_house_of_representatives_district_52
moore_SLS,487,nc_house_of_representatives_district_52
moore_SSP,323,nc_house_of_representatives_district_52
moore_TLT,67,nc_house_of_representatives_district_52
moore_VSS,454,nc_house_of_representatives_district_52
moore_WAB,707,nc_house_of_representatives_district_52
moore_WEM,313,nc_house_of_representatives_district_52
moore_WKWD,346,nc_house_of_representatives_district_52
moore_WND,264,nc_house_of_representatives_district_52
