prec_id,Harry Brown,election
jones_P01,182,nc_state_senate_district_6
jones_P02,165,nc_state_senate_district_6
jones_P03,217,nc_state_senate_district_6
jones_P04,447,nc_state_senate_district_6
jones_P05,266,nc_state_senate_district_6
jones_P06,243,nc_state_senate_district_6
jones_P07,345,nc_state_senate_district_6
onslow_BC21,979,nc_state_senate_district_6
onslow_BM08,999,nc_state_senate_district_6
onslow_CL10,558,nc_state_senate_district_6
onslow_CR07,729,nc_state_senate_district_6
onslow_EN03,916,nc_state_senate_district_6
onslow_FS16,901,nc_state_senate_district_6
onslow_GB12,607,nc_state_senate_district_6
onslow_HM05,660,nc_state_senate_district_6
onslow_HN14,491,nc_state_senate_district_6
onslow_HR17,479,nc_state_senate_district_6
onslow_HU20,647,nc_state_senate_district_6
onslow_JA01,594,nc_state_senate_district_6
onslow_ML23,330,nc_state_senate_district_6
onslow_MT24,473,nc_state_senate_district_6
onslow_NE22A,478,nc_state_senate_district_6
onslow_NE22B,754,nc_state_senate_district_6
onslow_NM13,400,nc_state_senate_district_6
onslow_NR02,144,nc_state_senate_district_6
onslow_RL09,785,nc_state_senate_district_6
onslow_SF18,1134,nc_state_senate_district_6
onslow_SW19,905,nc_state_senate_district_6
onslow_TL06,469,nc_state_senate_district_6
onslow_VR15,418,nc_state_senate_district_6
onslow_WN04,831,nc_state_senate_district_6
