prec_id,Andrew C. Brock,election
davie_01,560,nc_state_senate_district_34
davie_02,549,nc_state_senate_district_34
davie_03,1378,nc_state_senate_district_34
davie_04,831,nc_state_senate_district_34
davie_05,1441,nc_state_senate_district_34
davie_06,861,nc_state_senate_district_34
davie_07,891,nc_state_senate_district_34
davie_08,843,nc_state_senate_district_34
davie_09,1061,nc_state_senate_district_34
davie_10,1299,nc_state_senate_district_34
davie_11,968,nc_state_senate_district_34
davie_12,2023,nc_state_senate_district_34
davie_13,1591,nc_state_senate_district_34
davie_14,1107,nc_state_senate_district_34
davie_CURBSIDE,173,nc_state_senate_district_34
iredell_BA,2016,nc_state_senate_district_34
iredell_BE,2611,nc_state_senate_district_34
iredell_CD,2301,nc_state_senate_district_34
iredell_CH-A,1093,nc_state_senate_district_34
iredell_CH-B,1203,nc_state_senate_district_34
iredell_CS,1188,nc_state_senate_district_34
iredell_EM,578,nc_state_senate_district_34
iredell_NH,627,nc_state_senate_district_34
iredell_OL,677,nc_state_senate_district_34
iredell_SB,959,nc_state_senate_district_34
iredell_TB,1050,nc_state_senate_district_34
iredell_UG,772,nc_state_senate_district_34
rowan_02,502,nc_state_senate_district_34
rowan_04,2136,nc_state_senate_district_34
rowan_07,846,nc_state_senate_district_34
rowan_08,1624,nc_state_senate_district_34
rowan_09,1174,nc_state_senate_district_34
rowan_10,1440,nc_state_senate_district_34
rowan_11,1366,nc_state_senate_district_34
rowan_12,668,nc_state_senate_district_34
rowan_14A,2252,nc_state_senate_district_34
rowan_15,1663,nc_state_senate_district_34
rowan_16,761,nc_state_senate_district_34
rowan_17,956,nc_state_senate_district_34
rowan_18,100,nc_state_senate_district_34
rowan_19A,2111,nc_state_senate_district_34
rowan_21,1260,nc_state_senate_district_34
rowan_24,686,nc_state_senate_district_34
rowan_27,619,nc_state_senate_district_34
rowan_28,716,nc_state_senate_district_34
rowan_29,630,nc_state_senate_district_34
rowan_30,884,nc_state_senate_district_34
rowan_31,801,nc_state_senate_district_34
rowan_32,782,nc_state_senate_district_34
rowan_34,886,nc_state_senate_district_34
rowan_35,301,nc_state_senate_district_34
rowan_36,714,nc_state_senate_district_34
rowan_38,756,nc_state_senate_district_34
rowan_39,753,nc_state_senate_district_34
rowan_40,951,nc_state_senate_district_34
rowan_41,933,nc_state_senate_district_34
rowan_42,101,nc_state_senate_district_34
rowan_44,1302,nc_state_senate_district_34
rowan_45,514,nc_state_senate_district_34
