prec_id,Martin L. Nesbitt,RL Clark,election
buncombe_01.1,382,54,nc_state_senate_district_49
buncombe_02.1,739,89,nc_state_senate_district_49
buncombe_03.1,501,81,nc_state_senate_district_49
buncombe_04.1,273,75,nc_state_senate_district_49
buncombe_05.1,320,193,nc_state_senate_district_49
buncombe_06.1,284,115,nc_state_senate_district_49
buncombe_07.1,261,72,nc_state_senate_district_49
buncombe_08.2,383,160,nc_state_senate_district_49
buncombe_08.3,399,157,nc_state_senate_district_49
buncombe_09.1,624,267,nc_state_senate_district_49
buncombe_10.1,415,22,nc_state_senate_district_49
buncombe_11.1,291,35,nc_state_senate_district_49
buncombe_12.1,388,104,nc_state_senate_district_49
buncombe_13.1,470,83,nc_state_senate_district_49
buncombe_14.2,404,125,nc_state_senate_district_49
buncombe_14.3,203,98,nc_state_senate_district_49
buncombe_15.1,388,110,nc_state_senate_district_49
buncombe_16.2,460,132,nc_state_senate_district_49
buncombe_17.1,324,106,nc_state_senate_district_49
buncombe_20.1,120,48,nc_state_senate_district_49
buncombe_21.1,410,232,nc_state_senate_district_49
buncombe_22.2,314,156,nc_state_senate_district_49
buncombe_23.2,66,35,nc_state_senate_district_49
buncombe_23.3,158,141,nc_state_senate_district_49
buncombe_24.1,332,232,nc_state_senate_district_49
buncombe_25.1,358,258,nc_state_senate_district_49
buncombe_26.1,276,130,nc_state_senate_district_49
buncombe_27.2,114,65,nc_state_senate_district_49
buncombe_28.1,366,98,nc_state_senate_district_49
buncombe_31.1,210,332,nc_state_senate_district_49
buncombe_32.1,218,236,nc_state_senate_district_49
buncombe_33.2,178,159,nc_state_senate_district_49
buncombe_33.3,267,241,nc_state_senate_district_49
buncombe_34.1,170,148,nc_state_senate_district_49
buncombe_35.1,217,164,nc_state_senate_district_49
buncombe_36.1,227,233,nc_state_senate_district_49
buncombe_37.1,171,237,nc_state_senate_district_49
buncombe_39.2,189,195,nc_state_senate_district_49
buncombe_39.3,218,239,nc_state_senate_district_49
buncombe_40.2,309,456,nc_state_senate_district_49
buncombe_41.1,273,454,nc_state_senate_district_49
buncombe_42.1,327,275,nc_state_senate_district_49
buncombe_43.2,244,192,nc_state_senate_district_49
buncombe_44.1,350,399,nc_state_senate_district_49
buncombe_45.1,450,442,nc_state_senate_district_49
buncombe_48.1,343,452,nc_state_senate_district_49
buncombe_49.1,415,647,nc_state_senate_district_49
buncombe_50.1,233,340,nc_state_senate_district_49
buncombe_51.2,237,263,nc_state_senate_district_49
buncombe_52.1,277,422,nc_state_senate_district_49
buncombe_53.1,253,370,nc_state_senate_district_49
buncombe_57.1,0,0,nc_state_senate_district_49
buncombe_58.1,175,206,nc_state_senate_district_49
buncombe_59.1,319,392,nc_state_senate_district_49
buncombe_60.2,175,133,nc_state_senate_district_49
buncombe_60.4,157,207,nc_state_senate_district_49
buncombe_61.1,364,375,nc_state_senate_district_49
buncombe_62.1,346,315,nc_state_senate_district_49
buncombe_63.1,103,131,nc_state_senate_district_49
buncombe_64.1,236,279,nc_state_senate_district_49
buncombe_65.1,477,264,nc_state_senate_district_49
buncombe_66.1,276,157,nc_state_senate_district_49
buncombe_67.1,205,208,nc_state_senate_district_49
buncombe_68.1,452,455,nc_state_senate_district_49
buncombe_681,63,89,nc_state_senate_district_49
buncombe_69.1,333,398,nc_state_senate_district_49
buncombe_70.1,350,288,nc_state_senate_district_49
buncombe_71.1,380,432,nc_state_senate_district_49
