prec_id,Thom Tillis,election
mecklenburg_127,2049,nc_house_of_representatives_district_98
mecklenburg_133,2280,nc_house_of_representatives_district_98
mecklenburg_142,1581,nc_house_of_representatives_district_98
mecklenburg_145,3396,nc_house_of_representatives_district_98
mecklenburg_202,2948,nc_house_of_representatives_district_98
mecklenburg_206,1770,nc_house_of_representatives_district_98
mecklenburg_207,2285,nc_house_of_representatives_district_98
mecklenburg_208,2391,nc_house_of_representatives_district_98
mecklenburg_239,602,nc_house_of_representatives_district_98
mecklenburg_240,2522,nc_house_of_representatives_district_98
mecklenburg_241,2000,nc_house_of_representatives_district_98
mecklenburg_242,1696,nc_house_of_representatives_district_98
mecklenburg_CURBSIDE,38,nc_house_of_representatives_district_98
