prec_id,Steve Wilkins,Renee Ellmers,Brian Irving,election
cumberland_G11B,898,634,52,us_house_of_representatives_district_2
cumberland_G3A-1,1436,576,42,us_house_of_representatives_district_2
cumberland_G3A-2,767,523,31,us_house_of_representatives_district_2
cumberland_G3C,380,420,20,us_house_of_representatives_district_2
cumberland_G4C,712,272,29,us_house_of_representatives_district_2
cumberland_SH77,587,845,41,us_house_of_representatives_district_2
cumberland_G11A-1,1180,310,41,us_house_of_representatives_district_2
cumberland_G11A-2,1082,324,34,us_house_of_representatives_district_2
cumberland_G10C,621,1098,41,us_house_of_representatives_district_2
cumberland_G10A,1121,1472,64,us_house_of_representatives_district_2
cumberland_G7B,220,530,14,us_house_of_representatives_district_2
harnett_PR01,679,1198,61,us_house_of_representatives_district_2
harnett_PR07,659,1239,75,us_house_of_representatives_district_2
harnett_PR08,626,1211,51,us_house_of_representatives_district_2
harnett_PR16,667,806,65,us_house_of_representatives_district_2
harnett_PR24,451,1281,45,us_house_of_representatives_district_2
harnett_PR25,636,688,15,us_house_of_representatives_district_2
harnett_PR26,334,833,36,us_house_of_representatives_district_2
harnett_PR28,448,1382,49,us_house_of_representatives_district_2
harnett_PR29,490,912,27,us_house_of_representatives_district_2
harnett_PR30,267,532,29,us_house_of_representatives_district_2
hoke_04,298,311,17,us_house_of_representatives_district_2
hoke_05,498,426,20,us_house_of_representatives_district_2
hoke_06A,1611,1392,82,us_house_of_representatives_district_2
hoke_12,856,1197,66,us_house_of_representatives_district_2
hoke_13,340,422,17,us_house_of_representatives_district_2
hoke_14,1199,772,51,us_house_of_representatives_district_2
hoke_63,1346,461,29,us_house_of_representatives_district_2
hoke_ACCUMULATED,0,0,0,us_house_of_representatives_district_2
lee_A1,341,328,41,us_house_of_representatives_district_2
lee_A2,491,230,20,us_house_of_representatives_district_2
lee_B1,157,396,12,us_house_of_representatives_district_2
lee_B2,180,248,14,us_house_of_representatives_district_2
lee_C1,281,442,19,us_house_of_representatives_district_2
lee_C2,130,404,17,us_house_of_representatives_district_2
lee_D1,247,569,31,us_house_of_representatives_district_2
lee_D2,246,529,33,us_house_of_representatives_district_2
lee_E1,230,496,21,us_house_of_representatives_district_2
lee_E2,244,271,11,us_house_of_representatives_district_2
lee_ACCUMULATED,0,0,0,us_house_of_representatives_district_2
moore_BEN,146,356,8,us_house_of_representatives_district_2
moore_CAM,174,395,14,us_house_of_representatives_district_2
moore_CAR,337,460,22,us_house_of_representatives_district_2
moore_DHR,126,417,10,us_house_of_representatives_district_2
moore_EAB,316,428,11,us_house_of_representatives_district_2
moore_EKWD,83,173,12,us_house_of_representatives_district_2
moore_EUR,240,669,23,us_house_of_representatives_district_2
moore_EWD,138,264,19,us_house_of_representatives_district_2
moore_LTR,230,551,17,us_house_of_representatives_district_2
moore_NSP,281,373,40,us_house_of_representatives_district_2
moore_PBF,335,474,24,us_house_of_representatives_district_2
moore_PDN,355,671,34,us_house_of_representatives_district_2
