prec_id,Erv Portman,Tamara Barringer,election
wake_36586,361,550,nc_state_senate_district_17
wake_43927,434,428,nc_state_senate_district_17
wake_43928,321,569,nc_state_senate_district_17
wake_43930,339,440,nc_state_senate_district_17
wake_43931,477,530,nc_state_senate_district_17
wake_43933,377,455,nc_state_senate_district_17
wake_43936,442,435,nc_state_senate_district_17
wake_43957,583,730,nc_state_senate_district_17
wake_43986,317,325,nc_state_senate_district_17
wake_43987,263,558,nc_state_senate_district_17
wake_43988,494,732,nc_state_senate_district_17
wake_43989,435,656,nc_state_senate_district_17
wake_43990,288,335,nc_state_senate_district_17
wake_43991,323,546,nc_state_senate_district_17
wake_43992,203,404,nc_state_senate_district_17
wake_44166,311,675,nc_state_senate_district_17
wake_44167,530,707,nc_state_senate_district_17
wake_44170,605,1058,nc_state_senate_district_17
wake_44171,167,250,nc_state_senate_district_17
wake_44173,522,572,nc_state_senate_district_17
wake_44174,318,541,nc_state_senate_district_17
wake_18-02,503,941,nc_state_senate_district_17
wake_18-03,255,487,nc_state_senate_district_17
wake_18-04,348,648,nc_state_senate_district_17
wake_18-05,614,897,nc_state_senate_district_17
wake_18-06,97,113,nc_state_senate_district_17
wake_18-07,315,556,nc_state_senate_district_17
wake_18-08,518,691,nc_state_senate_district_17
wake_20-01,400,403,nc_state_senate_district_17
wake_20-03,327,490,nc_state_senate_district_17
wake_20-04,477,584,nc_state_senate_district_17
wake_20-05,469,628,nc_state_senate_district_17
wake_20-06A,507,543,nc_state_senate_district_17
wake_20-06B,460,699,nc_state_senate_district_17
wake_20-08,531,666,nc_state_senate_district_17
wake_20-09,364,465,nc_state_senate_district_17
wake_20-10,479,560,nc_state_senate_district_17
wake_20-11,515,707,nc_state_senate_district_17
wake_20-12,263,415,nc_state_senate_district_17
wake_20-13,1019,998,nc_state_senate_district_17
wake_20-14,593,709,nc_state_senate_district_17
