prec_id,Jeffrey Elmore,election
alleghany_01,619,nc_house_of_representatives_district_94
alleghany_02,141,nc_house_of_representatives_district_94
alleghany_03,1195,nc_house_of_representatives_district_94
alleghany_04,670,nc_house_of_representatives_district_94
alleghany_05,259,nc_house_of_representatives_district_94
alleghany_06,290,nc_house_of_representatives_district_94
alleghany_07,313,nc_house_of_representatives_district_94
alleghany_CURBSIDE,0,nc_house_of_representatives_district_94
wilkes_101,187,nc_house_of_representatives_district_94
wilkes_102,382,nc_house_of_representatives_district_94
wilkes_104,389,nc_house_of_representatives_district_94
wilkes_105,359,nc_house_of_representatives_district_94
wilkes_106,328,nc_house_of_representatives_district_94
wilkes_107,728,nc_house_of_representatives_district_94
wilkes_108,308,nc_house_of_representatives_district_94
wilkes_109,230,nc_house_of_representatives_district_94
wilkes_110,101,nc_house_of_representatives_district_94
wilkes_111,414,nc_house_of_representatives_district_94
wilkes_112,564,nc_house_of_representatives_district_94
wilkes_113,401,nc_house_of_representatives_district_94
wilkes_114,235,nc_house_of_representatives_district_94
wilkes_115A,849,nc_house_of_representatives_district_94
wilkes_117,326,nc_house_of_representatives_district_94
wilkes_118,350,nc_house_of_representatives_district_94
wilkes_119,773,nc_house_of_representatives_district_94
wilkes_120,503,nc_house_of_representatives_district_94
wilkes_121,475,nc_house_of_representatives_district_94
wilkes_123,312,nc_house_of_representatives_district_94
wilkes_125,229,nc_house_of_representatives_district_94
wilkes_126,245,nc_house_of_representatives_district_94
wilkes_127,401,nc_house_of_representatives_district_94
wilkes_128,701,nc_house_of_representatives_district_94
wilkes_129,482,nc_house_of_representatives_district_94
